timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/05/04 23:43:21.243, 0, 0, 0, 1, 24564, 24.81, 46, 210, 405
2026/05/04 23:43:21.347, 0, 0, 0, 1, 24564, 24.81, 46, 210, 405
2026/05/04 23:43:21.447, 0, 0, 0, 1, 24564, 24.81, 46, 210, 405
2026/05/04 23:43:21.547, 0, 0, 0, 1, 24564, 24.81, 46, 210, 405
2026/05/04 23:43:21.647, 0, 0, 0, 1, 24564, 24.81, 46, 210, 405
2026/05/04 23:43:21.748, 0, 0, 0, 1, 24564, 24.81, 46, 210, 405
2026/05/04 23:43:21.850, 0, 0, 0, 1, 24564, 24.81, 46, 210, 405
2026/05/04 23:43:21.950, 0, 0, 0, 1, 24564, 24.81, 46, 210, 405
2026/05/04 23:43:22.051, 0, 0, 0, 1, 24564, 24.81, 46, 210, 405
2026/05/04 23:43:22.151, 0, 0, 0, 1, 24564, 24.81, 46, 210, 405
2026/05/04 23:43:22.251, 0, 0, 0, 1, 24564, 24.81, 46, 210, 405
2026/05/04 23:43:22.351, 0, 0, 0, 1, 24564, 24.79, 46, 210, 405
2026/05/04 23:43:22.451, 0, 0, 0, 1, 24564, 24.79, 46, 210, 405
2026/05/04 23:43:22.552, 0, 0, 0, 1, 24564, 24.79, 46, 210, 405
2026/05/04 23:43:22.652, 0, 0, 0, 1, 24564, 24.79, 46, 210, 405
2026/05/04 23:43:22.752, 0, 0, 0, 1, 24564, 24.79, 46, 210, 405
2026/05/04 23:43:22.852, 0, 0, 0, 1, 24564, 24.79, 46, 210, 405
2026/05/04 23:43:22.953, 0, 0, 0, 1, 24564, 24.79, 46, 210, 405
2026/05/04 23:43:23.054, 0, 0, 0, 1, 24564, 24.79, 46, 210, 405
2026/05/04 23:43:23.154, 0, 0, 0, 1, 24564, 24.79, 46, 210, 405
2026/05/04 23:43:23.255, 0, 0, 0, 1, 24564, 24.79, 46, 210, 405
2026/05/04 23:43:23.355, 0, 0, 0, 1, 24564, 24.72, 46, 210, 405
2026/05/04 23:43:23.455, 0, 0, 0, 1, 24564, 24.72, 46, 210, 405
2026/05/04 23:43:23.555, 0, 0, 0, 1, 24564, 24.72, 46, 210, 405
2026/05/04 23:43:23.656, 0, 0, 0, 1, 24564, 24.72, 46, 210, 405
2026/05/04 23:43:23.756, 0, 0, 0, 1, 24564, 24.72, 46, 210, 405
2026/05/04 23:43:23.856, 0, 0, 0, 1, 24564, 24.72, 46, 210, 405
2026/05/04 23:43:23.956, 0, 0, 0, 1, 24564, 24.72, 46, 210, 405
2026/05/04 23:43:24.056, 0, 0, 0, 1, 24564, 24.72, 46, 210, 405
2026/05/04 23:43:24.157, 0, 0, 0, 1, 24564, 24.72, 46, 210, 405
2026/05/04 23:43:24.257, 0, 0, 0, 1, 24564, 24.72, 46, 210, 405
2026/05/04 23:43:24.357, 0, 0, 0, 1, 24564, 24.84, 46, 210, 405
2026/05/04 23:43:24.457, 0, 0, 0, 1, 24564, 24.84, 46, 210, 405
2026/05/04 23:43:24.557, 0, 0, 0, 1, 24564, 24.84, 46, 210, 405
2026/05/04 23:43:24.658, 0, 0, 0, 1, 24564, 24.84, 46, 210, 405
2026/05/04 23:43:24.758, 0, 0, 0, 1, 24564, 24.84, 46, 210, 405
2026/05/04 23:43:24.858, 0, 0, 0, 1, 24564, 24.84, 46, 210, 405
2026/05/04 23:43:24.958, 0, 0, 0, 1, 24564, 24.84, 46, 210, 405
2026/05/04 23:43:25.059, 0, 0, 0, 1, 24564, 24.84, 46, 210, 405
2026/05/04 23:43:25.159, 0, 0, 0, 1, 24564, 24.84, 46, 210, 405
2026/05/04 23:43:25.259, 0, 0, 0, 1, 24564, 24.84, 46, 210, 405
2026/05/04 23:43:25.359, 0, 0, 0, 1, 24564, 24.89, 46, 210, 405
2026/05/04 23:43:25.459, 0, 0, 0, 1, 24564, 24.89, 46, 210, 405
2026/05/04 23:43:25.560, 0, 0, 0, 1, 24564, 24.89, 46, 210, 405
2026/05/04 23:43:25.660, 0, 0, 0, 1, 24564, 24.89, 46, 210, 405
2026/05/04 23:43:25.760, 0, 0, 0, 1, 24564, 24.89, 46, 210, 405
2026/05/04 23:43:25.860, 0, 0, 0, 1, 24564, 24.89, 46, 210, 405
2026/05/04 23:43:25.961, 0, 0, 0, 1, 24564, 24.89, 46, 210, 405
2026/05/04 23:43:26.061, 0, 0, 0, 1, 24564, 24.89, 46, 210, 405
2026/05/04 23:43:26.161, 0, 0, 0, 1, 24564, 24.89, 46, 210, 405
2026/05/04 23:43:26.262, 0, 0, 0, 1, 24564, 24.89, 46, 210, 405
2026/05/04 23:43:26.362, 0, 0, 0, 1, 24564, 24.80, 46, 210, 405
2026/05/04 23:43:26.463, 0, 0, 0, 1, 24564, 24.80, 46, 210, 405
2026/05/04 23:43:26.563, 0, 0, 0, 1, 24564, 24.80, 46, 210, 405
2026/05/04 23:43:26.663, 0, 0, 0, 1, 24564, 24.80, 46, 210, 405
2026/05/04 23:43:26.763, 0, 0, 0, 1, 24564, 24.80, 46, 210, 405
2026/05/04 23:43:26.863, 0, 0, 0, 1, 24564, 24.80, 46, 210, 405
2026/05/04 23:43:26.964, 0, 0, 0, 1, 24564, 24.80, 46, 210, 405
2026/05/04 23:43:27.064, 0, 0, 0, 1, 24564, 24.80, 46, 210, 405
2026/05/04 23:43:27.164, 0, 0, 0, 1, 24564, 24.80, 46, 210, 405
2026/05/04 23:43:27.329, 0, 0, 0, 1, 24564, 24.80, 46, 210, 405
2026/05/04 23:43:27.429, 0, 0, 0, 1, 24564, 24.86, 46, 210, 405
2026/05/04 23:43:27.530, 0, 0, 0, 1, 24564, 24.86, 46, 210, 405
2026/05/04 23:43:27.630, 0, 0, 0, 1, 24564, 24.86, 46, 210, 405
2026/05/04 23:43:27.730, 0, 0, 0, 1, 24564, 24.86, 46, 210, 405
2026/05/04 23:43:27.830, 0, 0, 0, 1, 24564, 24.86, 46, 210, 405
2026/05/04 23:43:27.930, 0, 0, 0, 1, 24564, 24.86, 46, 210, 405
2026/05/04 23:43:28.031, 0, 0, 0, 1, 24564, 24.86, 46, 210, 405
2026/05/04 23:43:28.134, 0, 0, 0, 1, 24564, 24.86, 46, 210, 405
2026/05/04 23:43:28.234, 0, 0, 0, 1, 24564, 24.86, 46, 210, 405
2026/05/04 23:43:28.335, 0, 0, 0, 1, 24564, 24.86, 46, 210, 405
2026/05/04 23:43:28.435, 0, 0, 0, 1, 24564, 24.94, 46, 210, 405
2026/05/04 23:43:28.535, 0, 0, 0, 1, 24564, 24.94, 46, 210, 405
2026/05/04 23:43:28.635, 0, 0, 0, 1, 24564, 24.94, 46, 210, 405
2026/05/04 23:43:28.736, 0, 0, 0, 1, 24564, 24.94, 46, 210, 405
2026/05/04 23:43:28.836, 0, 0, 0, 1, 24564, 24.94, 46, 210, 405
2026/05/04 23:43:28.936, 0, 0, 0, 1, 24564, 24.94, 46, 210, 405
2026/05/04 23:43:29.036, 0, 0, 0, 1, 24564, 24.94, 46, 210, 405
2026/05/04 23:43:29.137, 0, 0, 0, 1, 24564, 24.94, 46, 210, 405
2026/05/04 23:43:29.237, 0, 0, 0, 1, 24564, 24.94, 46, 210, 405
2026/05/04 23:43:29.337, 0, 0, 0, 1, 24564, 24.94, 46, 210, 405
2026/05/04 23:43:29.437, 0, 0, 0, 1, 24564, 24.93, 46, 210, 405
2026/05/04 23:43:29.537, 0, 0, 0, 1, 24564, 24.93, 46, 210, 405
2026/05/04 23:43:29.638, 0, 0, 0, 1, 24564, 24.93, 46, 210, 405
2026/05/04 23:43:29.738, 0, 0, 0, 1, 24564, 24.93, 46, 210, 405
2026/05/04 23:43:29.838, 0, 0, 0, 1, 24564, 24.93, 46, 210, 405
2026/05/04 23:43:29.938, 0, 0, 0, 1, 24564, 24.93, 46, 210, 405
