timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/05/04 22:53:16.345, 0, 0, 0, 1, 12282, 12.78, 44, 210, 405
2026/05/04 22:53:16.448, 0, 0, 0, 1, 12282, 12.78, 44, 210, 405
2026/05/04 22:53:16.549, 0, 0, 0, 1, 12282, 12.78, 44, 210, 405
2026/05/04 22:53:16.649, 0, 0, 0, 1, 12282, 12.78, 44, 210, 405
2026/05/04 22:53:16.749, 0, 0, 0, 1, 12282, 12.78, 44, 210, 405
2026/05/04 22:53:16.849, 0, 0, 0, 1, 12282, 12.78, 44, 210, 405
2026/05/04 22:53:16.949, 0, 0, 0, 1, 12282, 12.78, 44, 210, 405
2026/05/04 22:53:17.049, 0, 0, 0, 1, 12282, 12.78, 44, 210, 405
2026/05/04 22:53:17.150, 0, 0, 0, 1, 12282, 12.78, 44, 210, 405
2026/05/04 22:53:17.250, 0, 0, 0, 1, 12282, 12.78, 44, 210, 405
2026/05/04 22:53:17.350, 0, 0, 0, 1, 12282, 12.78, 44, 210, 405
2026/05/04 22:53:17.450, 0, 0, 0, 1, 12282, 12.78, 44, 210, 405
2026/05/04 22:53:17.550, 0, 0, 0, 1, 12282, 12.78, 44, 210, 405
2026/05/04 22:53:17.651, 0, 0, 0, 1, 12282, 12.78, 44, 210, 405
2026/05/04 22:53:17.751, 0, 0, 0, 1, 12282, 12.78, 44, 210, 405
2026/05/04 22:53:17.851, 0, 0, 0, 1, 12282, 12.78, 44, 210, 405
2026/05/04 22:53:17.951, 0, 0, 0, 1, 12282, 12.78, 44, 210, 405
2026/05/04 22:53:18.051, 0, 0, 0, 1, 12282, 12.78, 44, 210, 405
2026/05/04 22:53:18.151, 0, 0, 0, 1, 12282, 12.78, 44, 210, 405
2026/05/04 22:53:18.252, 0, 0, 0, 1, 12282, 12.78, 44, 210, 405
