Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,128.00,128.00,128.00,3840.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,30.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,30.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),32.38,32.30,32.47,971.42,32.30,32.31,32.32,32.36,32.38,32.41,32.43,32.44,32.46,0.04
HTTP Data Sent (KB),0.69,0.60,0.73,20.71,0.61,0.64,0.66,0.67,0.69,0.71,0.72,0.73,0.73,0.03
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),4465.71,4454.77,4509.98,133971.42,4455.48,4458.43,4460.15,4461.41,4464.43,4466.60,4468.68,4472.16,4499.59,9.07
HTTP Receiving (ms),4387.22,4377.15,4430.49,131616.66,4377.75,4380.39,4382.28,4382.86,4386.10,4388.55,4389.97,4393.66,4420.46,8.85
HTTP Sending (ms),0.09,0.07,0.13,2.73,0.07,0.08,0.08,0.08,0.08,0.11,0.12,0.13,0.13,0.02
HTTP Total Time (ms),4465.71,4454.77,4509.98,133971.42,4455.48,4458.43,4460.15,4461.41,4464.43,4466.60,4468.68,4472.16,4499.59,9.07
HTTP Waiting (TTFB) (ms),78.40,77.54,81.24,2352.03,77.57,77.69,77.85,78.01,78.38,78.59,78.96,79.23,80.71,0.68
Input Sequence Length (tokens),128.00,128.00,128.00,3840.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Inter Chunk Latency (ms),34.55,30.35,69.57,131616.61,34.23,34.36,34.40,34.46,34.52,34.59,34.68,34.78,35.15,0.63
Inter Token Latency (ms),34.55,34.47,34.89,1036.35,34.47,34.49,34.51,34.51,34.54,34.56,34.57,34.60,34.81,0.07
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),128.00,128.00,128.00,3840.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Count (tokens),128.00,128.00,128.00,3840.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Throughput Per User (tokens/sec/user),28.95,28.66,29.01,868.43,28.73,28.91,28.93,28.94,28.96,28.98,28.98,28.99,29.01,0.06
Prefill Throughput Per User (tokens/sec/user),1629.99,1572.07,1648.22,48899.82,1582.96,1613.24,1618.75,1625.28,1630.21,1638.27,1641.68,1645.13,1647.67,13.99
Request Latency (ms),4465.75,4454.81,4510.02,133972.62,4455.52,4458.47,4460.18,4461.44,4464.49,4466.64,4468.74,4472.21,4499.63,9.07
Time to First Output Token (ms),78.53,77.66,81.42,2356.01,77.69,77.81,77.97,78.13,78.52,78.76,79.07,79.34,80.87,0.69
Time to First Token (ms),78.53,77.66,81.42,2356.01,77.69,77.81,77.97,78.13,78.52,78.76,79.07,79.34,80.87,0.69
Time to Second Token (ms),34.54,34.16,36.00,1036.19,34.19,34.26,34.28,34.41,34.45,34.62,34.73,34.89,35.70,0.32

Metric,Value
Benchmark Duration (sec),134.01
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),28.65
Request Count,30.00
Request Throughput (requests/sec),0.22
Total Input Sequence Length (tokens),3840.00
Total Output Sequence Length (tokens),3840.00
Total Output Tokens (tokens),3840.00
Total Token Throughput (tokens/sec),57.31


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
