Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,512.00,512.00,512.00,15360.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,30.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,30.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),128.54,128.28,128.88,3856.06,128.29,128.30,128.33,128.44,128.54,128.60,128.72,128.77,128.85,0.15
HTTP Data Sent (KB),4.48,4.06,4.78,134.54,4.09,4.21,4.30,4.39,4.52,4.61,4.68,4.70,4.76,0.16
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),18828.24,18680.42,18927.17,564847.31,18680.53,18686.18,18694.23,18714.07,18876.18,18896.83,18911.47,18918.63,18924.99,90.58
HTTP Receiving (ms),14964.58,14816.61,15063.77,448937.42,14816.79,14822.74,14830.80,14850.47,15011.76,15033.35,15047.88,15055.36,15061.63,90.54
HTTP Sending (ms),0.09,0.08,0.13,2.79,0.08,0.08,0.08,0.08,0.08,0.09,0.13,0.13,0.13,0.02
HTTP Total Time (ms),18828.24,18680.42,18927.17,564847.31,18680.53,18686.18,18694.23,18714.07,18876.18,18896.83,18911.47,18918.63,18924.99,90.58
HTTP Waiting (TTFB) (ms),3863.57,3862.62,3867.98,115907.11,3862.75,3863.10,3863.16,3863.25,3863.44,3863.56,3863.83,3863.98,3866.83,0.86
Input Sequence Length (tokens),1024.00,1024.00,1024.00,30720.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Inter Chunk Latency (ms),29.45,24.95,118.02,448937.20,28.77,28.89,28.95,29.10,29.32,29.44,29.55,29.63,30.73,2.59
Inter Token Latency (ms),29.52,29.00,30.32,885.56,29.00,29.02,29.04,29.38,29.43,29.72,30.07,30.14,30.27,0.35
OSL Mismatch Diff % (%),-0.78,-3.12,0.00,-23.44,-2.90,-2.26,-2.15,-1.17,-0.39,0.00,0.00,0.00,0.00,0.90
Output Sequence Length (tokens),508.00,496.00,512.00,15240.00,497.16,500.45,501.00,506.00,510.00,512.00,512.00,512.00,512.00,4.60
Output Token Count (tokens),508.00,496.00,512.00,15240.00,497.16,500.45,501.00,506.00,510.00,512.00,512.00,512.00,512.00,4.60
Output Token Throughput Per User (tokens/sec/user),33.88,32.98,34.49,1016.45,33.03,33.18,33.26,33.65,33.98,34.04,34.43,34.46,34.48,0.39
Prefill Throughput Per User (tokens/sec/user),265.03,264.73,265.10,7950.90,264.81,265.00,265.01,265.03,265.04,265.05,265.06,265.06,265.09,0.06
Request Latency (ms),18828.29,18680.46,18927.21,564848.59,18680.57,18686.22,18694.28,18714.11,18876.23,18896.87,18911.53,18918.67,18925.02,90.58
Time to First Output Token (ms),3863.71,3862.75,3868.11,115911.39,3862.89,3863.26,3863.29,3863.43,3863.58,3863.69,3864.01,3864.12,3866.96,0.86
Time to First Token (ms),3863.71,3862.75,3868.11,115911.39,3862.89,3863.26,3863.29,3863.43,3863.58,3863.69,3864.01,3864.12,3866.96,0.86
Time to Second Token (ms),29.37,28.73,31.33,881.04,28.75,28.83,28.89,29.04,29.38,29.58,29.68,29.79,30.91,0.47

Metric,Value
Benchmark Duration (sec),564.95
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),26.98
Request Count,30.00
Request Throughput (requests/sec),0.05
Total Input Sequence Length (tokens),30720.00
Total Output Sequence Length (tokens),15240.00
Total Output Tokens (tokens),15240.00
Total Token Throughput (tokens/sec),81.35


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
