timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/05/04 22:48:20.935, 0, 0, 0, 1, 12282, 6.24, 50, 210, 405
2026/05/04 22:48:21.038, 0, 0, 0, 1, 12282, 6.24, 50, 210, 405
2026/05/04 22:48:21.138, 0, 0, 0, 1, 12282, 6.24, 50, 210, 405
2026/05/04 22:48:21.238, 0, 0, 0, 1, 12282, 6.24, 50, 210, 405
2026/05/04 22:48:21.339, 0, 0, 0, 1, 12282, 6.24, 50, 210, 405
2026/05/04 22:48:21.439, 0, 0, 0, 1, 12282, 6.24, 50, 210, 405
2026/05/04 22:48:21.539, 0, 0, 0, 1, 12282, 6.26, 50, 210, 405
2026/05/04 22:48:21.639, 0, 0, 0, 1, 12282, 6.26, 50, 210, 405
2026/05/04 22:48:21.739, 0, 0, 0, 1, 12282, 6.26, 50, 210, 405
2026/05/04 22:48:21.840, 0, 0, 0, 1, 12282, 6.26, 50, 210, 405
2026/05/04 22:48:21.940, 0, 0, 0, 1, 12282, 6.26, 50, 210, 405
2026/05/04 22:48:22.040, 0, 0, 0, 1, 12282, 6.26, 50, 210, 405
2026/05/04 22:48:22.141, 0, 0, 0, 1, 12282, 6.26, 50, 210, 405
2026/05/04 22:48:22.241, 0, 0, 0, 1, 12282, 6.26, 50, 210, 405
2026/05/04 22:48:22.341, 0, 0, 0, 1, 12282, 6.26, 50, 210, 405
2026/05/04 22:48:22.441, 0, 0, 0, 1, 12282, 6.26, 50, 210, 405
2026/05/04 22:48:22.542, 0, 0, 0, 1, 12282, 6.29, 50, 210, 405
2026/05/04 22:48:22.642, 0, 0, 0, 1, 12282, 6.29, 50, 210, 405
2026/05/04 22:48:22.742, 0, 0, 0, 1, 12282, 6.29, 50, 210, 405
2026/05/04 22:48:22.843, 0, 0, 0, 1, 12282, 6.29, 50, 210, 405
2026/05/04 22:48:22.943, 0, 0, 0, 1, 12282, 6.29, 50, 210, 405
2026/05/04 22:48:23.043, 0, 0, 0, 1, 12282, 6.29, 50, 210, 405
2026/05/04 22:48:23.143, 0, 0, 0, 1, 12282, 6.29, 50, 210, 405
