Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,512.00,512.00,512.00,15360.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,30.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,30.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),128.54,128.19,128.80,3856.24,128.22,128.32,128.42,128.46,128.54,128.63,128.73,128.74,128.78,0.13
HTTP Data Sent (KB),4.46,3.94,4.83,133.93,3.98,4.12,4.32,4.39,4.46,4.57,4.67,4.76,4.83,0.18
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),12027.25,11980.67,12131.62,360817.48,11981.56,11984.23,11987.63,12006.16,12022.19,12047.17,12076.74,12081.51,12117.12,33.97
HTTP Receiving (ms),10654.66,10608.46,10760.45,319639.83,10609.43,10612.33,10615.33,10633.50,10648.66,10674.60,10703.34,10708.58,10745.42,33.97
HTTP Sending (ms),0.12,0.08,0.13,3.66,0.09,0.12,0.12,0.12,0.12,0.13,0.13,0.13,0.13,0.01
HTTP Total Time (ms),12027.25,11980.67,12131.62,360817.48,11981.56,11984.23,11987.63,12006.16,12022.19,12047.17,12076.74,12081.51,12117.12,33.97
HTTP Waiting (TTFB) (ms),1372.47,1371.09,1375.67,41173.99,1371.21,1371.61,1371.75,1372.06,1372.42,1372.75,1373.11,1373.24,1374.99,0.79
Input Sequence Length (tokens),1024.00,1024.00,1024.00,30720.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Inter Chunk Latency (ms),21.02,16.13,83.14,319597.21,19.86,20.59,20.65,20.73,20.83,20.95,21.08,21.24,24.58,2.12
Inter Token Latency (ms),21.09,20.80,21.75,632.56,20.81,20.82,20.85,20.93,21.04,21.17,21.36,21.59,21.74,0.23
OSL Mismatch Diff % (%),-1.11,-4.10,0.00,-33.40,-4.04,-3.55,-2.07,-1.37,-1.17,-0.15,0.00,0.00,0.00,1.06
Output Sequence Length (tokens),506.30,491.00,512.00,15189.00,491.29,493.80,501.40,505.00,506.00,511.25,512.00,512.00,512.00,5.41
Output Token Count (tokens),506.30,491.00,512.00,15189.00,491.29,493.80,501.40,505.00,506.00,511.25,512.00,512.00,512.00,5.41
Output Token Throughput Per User (tokens/sec/user),47.43,45.99,48.07,1422.96,46.01,46.31,46.82,47.24,47.53,47.78,47.96,48.02,48.06,0.51
Prefill Throughput Per User (tokens/sec/user),746.00,744.26,746.79,22380.10,744.63,745.58,745.65,745.85,746.03,746.22,746.39,746.47,746.71,0.43
Request Latency (ms),12025.89,11941.37,12131.66,360776.67,11952.78,11982.60,11987.69,12006.21,12022.25,12047.22,12076.79,12081.56,12117.16,36.53
Time to First Output Token (ms),1372.65,1371.21,1375.87,41179.46,1371.35,1371.79,1371.94,1372.24,1372.61,1372.93,1373.29,1373.42,1375.19,0.79
Time to First Token (ms),1372.65,1371.21,1375.87,41179.46,1371.35,1371.79,1371.94,1372.24,1372.61,1372.93,1373.29,1373.42,1375.19,0.79
Time to Second Token (ms),20.87,20.35,21.78,626.14,20.41,20.56,20.59,20.74,20.83,20.96,21.10,21.38,21.69,0.27

Metric,Value
Benchmark Duration (sec),360.96
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),42.08
Request Count,30.00
Request Throughput (requests/sec),0.08
Total Input Sequence Length (tokens),30720.00
Total Output Sequence Length (tokens),15189.00
Total Output Tokens (tokens),15189.00
Total Token Throughput (tokens/sec),127.18


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
