timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/05/05 17:56:40.980, 0, 0, 0, 1, 24564, 24.54, 44, 210, 405
2026/05/05 17:56:41.085, 0, 0, 0, 1, 24564, 24.54, 44, 210, 405
2026/05/05 17:56:41.185, 0, 0, 0, 1, 24564, 24.54, 44, 210, 405
2026/05/05 17:56:41.285, 0, 0, 0, 1, 24564, 24.54, 44, 210, 405
2026/05/05 17:56:41.385, 0, 0, 0, 1, 24564, 24.54, 44, 210, 405
2026/05/05 17:56:41.486, 0, 0, 0, 1, 24564, 24.54, 44, 210, 405
2026/05/05 17:56:41.586, 0, 0, 0, 1, 24564, 24.49, 44, 210, 405
2026/05/05 17:56:41.686, 0, 0, 0, 1, 24564, 24.49, 44, 210, 405
2026/05/05 17:56:41.786, 0, 0, 0, 1, 24564, 24.49, 44, 210, 405
2026/05/05 17:56:41.886, 0, 0, 0, 1, 24564, 24.49, 44, 210, 405
2026/05/05 17:56:41.987, 0, 0, 0, 1, 24564, 24.49, 44, 210, 405
2026/05/05 17:56:42.087, 0, 0, 0, 1, 24564, 24.49, 44, 210, 405
2026/05/05 17:56:42.187, 0, 0, 0, 1, 24564, 24.49, 44, 210, 405
2026/05/05 17:56:42.287, 0, 0, 0, 1, 24564, 24.49, 44, 210, 405
2026/05/05 17:56:42.388, 0, 0, 0, 1, 24564, 24.49, 44, 210, 405
2026/05/05 17:56:42.488, 0, 0, 0, 1, 24564, 24.49, 44, 210, 405
2026/05/05 17:56:42.588, 0, 0, 0, 1, 24564, 24.59, 44, 210, 405
2026/05/05 17:56:42.688, 0, 0, 0, 1, 24564, 24.59, 44, 210, 405
2026/05/05 17:56:42.788, 0, 0, 0, 1, 24564, 24.59, 44, 210, 405
2026/05/05 17:56:42.889, 0, 0, 0, 1, 24564, 24.59, 44, 210, 405
2026/05/05 17:56:42.989, 0, 0, 0, 1, 24564, 24.59, 44, 210, 405
2026/05/05 17:56:43.089, 0, 0, 0, 1, 24564, 24.59, 44, 210, 405
2026/05/05 17:56:43.189, 0, 0, 0, 1, 24564, 24.59, 44, 210, 405
2026/05/05 17:56:43.290, 0, 0, 0, 1, 24564, 24.59, 44, 210, 405
2026/05/05 17:56:43.390, 0, 0, 0, 1, 24564, 24.59, 44, 210, 405
2026/05/05 17:56:43.490, 0, 0, 0, 1, 24564, 24.59, 44, 210, 405
2026/05/05 17:56:43.590, 0, 0, 0, 1, 24564, 24.87, 44, 210, 405
2026/05/05 17:56:43.691, 0, 0, 0, 1, 24564, 24.87, 44, 210, 405
2026/05/05 17:56:43.791, 0, 0, 0, 1, 24564, 24.87, 44, 210, 405
2026/05/05 17:56:43.891, 0, 0, 0, 1, 24564, 24.87, 44, 210, 405
2026/05/05 17:56:43.991, 0, 0, 0, 1, 24564, 24.87, 44, 210, 405
2026/05/05 17:56:44.091, 0, 0, 0, 1, 24564, 24.87, 44, 210, 405
2026/05/05 17:56:44.192, 0, 0, 0, 1, 24564, 24.87, 44, 210, 405
2026/05/05 17:56:44.292, 0, 0, 0, 1, 24564, 24.87, 44, 210, 405
2026/05/05 17:56:44.392, 0, 0, 0, 1, 24564, 24.87, 44, 210, 405
2026/05/05 17:56:44.492, 0, 0, 0, 1, 24564, 24.87, 44, 210, 405
2026/05/05 17:56:44.593, 0, 0, 0, 1, 24564, 24.90, 44, 210, 405
2026/05/05 17:56:44.693, 0, 0, 0, 1, 24564, 24.90, 44, 210, 405
2026/05/05 17:56:44.793, 0, 0, 0, 1, 24564, 24.90, 44, 210, 405
2026/05/05 17:56:44.893, 0, 0, 0, 1, 24564, 24.90, 44, 210, 405
2026/05/05 17:56:44.993, 0, 0, 0, 1, 24564, 24.90, 44, 210, 405
2026/05/05 17:56:45.094, 0, 0, 0, 1, 24564, 24.90, 44, 210, 405
2026/05/05 17:56:45.194, 0, 0, 0, 1, 24564, 24.90, 44, 210, 405
2026/05/05 17:56:45.294, 0, 0, 0, 1, 24564, 24.90, 44, 210, 405
2026/05/05 17:56:45.394, 0, 0, 0, 1, 24564, 24.90, 44, 210, 405
2026/05/05 17:56:45.495, 0, 0, 0, 1, 24564, 24.90, 44, 210, 405
2026/05/05 17:56:45.595, 0, 0, 0, 1, 24564, 24.73, 44, 210, 405
2026/05/05 17:56:45.695, 0, 0, 0, 1, 24564, 24.73, 44, 210, 405
2026/05/05 17:56:45.795, 0, 0, 0, 1, 24564, 24.73, 44, 210, 405
2026/05/05 17:56:45.895, 0, 0, 0, 1, 24564, 24.73, 44, 210, 405
2026/05/05 17:56:46.062, 0, 0, 0, 1, 24564, 24.73, 44, 210, 405
2026/05/05 17:56:46.162, 0, 0, 0, 1, 24564, 24.73, 44, 210, 405
2026/05/05 17:56:46.262, 0, 0, 0, 1, 24564, 24.73, 44, 210, 405
2026/05/05 17:56:46.362, 0, 0, 0, 1, 24564, 24.73, 44, 210, 405
2026/05/05 17:56:46.463, 0, 0, 0, 1, 24564, 24.73, 44, 210, 405
2026/05/05 17:56:46.563, 0, 0, 0, 1, 24564, 24.73, 44, 210, 405
2026/05/05 17:56:46.666, 0, 0, 0, 1, 24564, 24.79, 44, 210, 405
2026/05/05 17:56:46.766, 0, 0, 0, 1, 24564, 24.79, 44, 210, 405
2026/05/05 17:56:46.867, 0, 0, 0, 1, 24564, 24.79, 44, 210, 405
2026/05/05 17:56:46.967, 0, 0, 0, 1, 24564, 24.79, 44, 210, 405
2026/05/05 17:56:47.067, 0, 0, 0, 1, 24564, 24.79, 44, 210, 405
2026/05/05 17:56:47.167, 0, 0, 0, 1, 24564, 24.79, 44, 210, 405
2026/05/05 17:56:47.267, 0, 0, 0, 1, 24564, 24.79, 44, 210, 405
2026/05/05 17:56:47.368, 0, 0, 0, 1, 24564, 24.79, 44, 210, 405
2026/05/05 17:56:47.468, 0, 0, 0, 1, 24564, 24.79, 44, 210, 405
2026/05/05 17:56:47.568, 0, 0, 0, 1, 24564, 24.79, 44, 210, 405
2026/05/05 17:56:47.668, 0, 0, 0, 1, 24564, 25.03, 44, 210, 405
2026/05/05 17:56:47.769, 0, 0, 0, 1, 24564, 25.03, 44, 210, 405
2026/05/05 17:56:47.869, 0, 0, 0, 1, 24564, 25.03, 44, 210, 405
2026/05/05 17:56:47.969, 0, 0, 0, 1, 24564, 25.03, 44, 210, 405
2026/05/05 17:56:48.069, 0, 0, 0, 1, 24564, 25.03, 44, 210, 405
2026/05/05 17:56:48.169, 0, 0, 0, 1, 24564, 25.03, 44, 210, 405
2026/05/05 17:56:48.269, 0, 0, 0, 1, 24564, 25.03, 44, 210, 405
2026/05/05 17:56:48.370, 0, 0, 0, 1, 24564, 25.03, 44, 210, 405
2026/05/05 17:56:48.470, 0, 0, 0, 1, 24564, 25.03, 44, 210, 405
2026/05/05 17:56:48.570, 0, 0, 0, 1, 24564, 25.03, 44, 210, 405
2026/05/05 17:56:48.670, 0, 0, 0, 1, 24564, 25.03, 44, 210, 405
2026/05/05 17:56:48.771, 0, 0, 0, 1, 24564, 25.03, 44, 210, 405
2026/05/05 17:56:48.871, 0, 0, 0, 1, 24564, 25.03, 44, 210, 405
2026/05/05 17:56:48.971, 0, 0, 0, 1, 24564, 25.03, 44, 210, 405
2026/05/05 17:56:49.071, 0, 0, 0, 1, 24564, 25.03, 44, 210, 405
2026/05/05 17:56:49.171, 0, 0, 0, 1, 24564, 25.03, 44, 210, 405
2026/05/05 17:56:49.272, 0, 0, 0, 1, 24564, 25.03, 44, 210, 405
2026/05/05 17:56:49.372, 0, 0, 0, 1, 24564, 25.03, 44, 210, 405
2026/05/05 17:56:49.472, 0, 0, 0, 1, 24564, 25.03, 44, 210, 405
2026/05/05 17:56:49.572, 0, 0, 0, 1, 24564, 25.03, 44, 210, 405
2026/05/05 17:56:49.672, 0, 0, 0, 1, 24564, 24.97, 44, 210, 405
2026/05/05 17:56:49.773, 0, 0, 0, 1, 24564, 24.97, 44, 210, 405
2026/05/05 17:56:49.873, 0, 0, 0, 1, 24564, 24.97, 44, 210, 405
2026/05/05 17:56:49.973, 0, 0, 0, 1, 24564, 24.97, 44, 210, 405
2026/05/05 17:56:50.073, 0, 0, 0, 1, 24564, 24.97, 44, 210, 405
2026/05/05 17:56:50.174, 0, 0, 0, 1, 24564, 24.97, 44, 210, 405
2026/05/05 17:56:50.274, 0, 0, 0, 1, 24564, 24.97, 44, 210, 405
2026/05/05 17:56:50.374, 0, 0, 0, 1, 24564, 24.97, 44, 210, 405
2026/05/05 17:56:50.474, 0, 0, 0, 1, 24564, 24.97, 44, 210, 405
2026/05/05 17:56:50.574, 0, 0, 0, 1, 24564, 24.97, 44, 210, 405
2026/05/05 17:56:50.674, 0, 0, 0, 1, 24564, 24.79, 44, 210, 405
2026/05/05 17:56:50.775, 0, 0, 0, 1, 24564, 24.79, 44, 210, 405
2026/05/05 17:56:50.875, 0, 0, 0, 1, 24564, 24.79, 44, 210, 405
2026/05/05 17:56:50.975, 0, 0, 0, 1, 24564, 24.79, 44, 210, 405
2026/05/05 17:56:51.075, 0, 0, 0, 1, 24564, 24.79, 44, 210, 405
2026/05/05 17:56:51.175, 0, 0, 0, 1, 24564, 24.79, 44, 210, 405
2026/05/05 17:56:51.276, 0, 0, 0, 1, 24564, 24.79, 44, 210, 405
2026/05/05 17:56:51.376, 0, 0, 0, 1, 24564, 24.79, 44, 210, 405
2026/05/05 17:56:51.476, 0, 0, 0, 1, 24564, 24.79, 44, 210, 405
2026/05/05 17:56:51.576, 0, 0, 0, 1, 24564, 24.79, 44, 210, 405
2026/05/05 17:56:51.677, 0, 0, 0, 1, 24564, 24.74, 44, 210, 405
2026/05/05 17:56:51.777, 0, 0, 0, 1, 24564, 24.74, 44, 210, 405
2026/05/05 17:56:51.877, 0, 0, 0, 1, 24564, 24.74, 44, 210, 405
2026/05/05 17:56:51.977, 0, 0, 0, 1, 24564, 24.74, 44, 210, 405
2026/05/05 17:56:52.077, 0, 0, 0, 1, 24564, 24.74, 44, 210, 405
2026/05/05 17:56:52.178, 0, 0, 0, 1, 24564, 24.74, 44, 210, 405
2026/05/05 17:56:52.278, 0, 0, 0, 1, 24564, 24.74, 44, 210, 405
2026/05/05 17:56:52.378, 0, 0, 0, 1, 24564, 24.74, 44, 210, 405
2026/05/05 17:56:52.478, 0, 0, 0, 1, 24564, 24.74, 44, 210, 405
2026/05/05 17:56:52.578, 0, 0, 0, 1, 24564, 24.74, 44, 210, 405
2026/05/05 17:56:52.678, 0, 0, 0, 1, 24564, 24.91, 44, 210, 405
2026/05/05 17:56:52.778, 0, 0, 0, 1, 24564, 24.91, 44, 210, 405
2026/05/05 17:56:52.879, 0, 0, 0, 1, 24564, 24.91, 44, 210, 405
2026/05/05 17:56:52.979, 0, 0, 0, 1, 24564, 24.91, 44, 210, 405
2026/05/05 17:56:53.079, 0, 0, 0, 1, 24564, 24.91, 44, 210, 405
2026/05/05 17:56:53.179, 0, 0, 0, 1, 24564, 24.91, 44, 210, 405
2026/05/05 17:56:53.279, 0, 0, 0, 1, 24564, 24.91, 44, 210, 405
2026/05/05 17:56:53.379, 0, 0, 0, 1, 24564, 24.91, 44, 210, 405
2026/05/05 17:56:53.479, 0, 0, 0, 1, 24564, 24.91, 44, 210, 405
2026/05/05 17:56:53.579, 0, 0, 0, 1, 24564, 24.91, 44, 210, 405
2026/05/05 17:56:53.679, 0, 0, 0, 1, 24564, 25.15, 44, 210, 405
2026/05/05 17:56:53.779, 0, 0, 0, 1, 24564, 25.15, 44, 210, 405
2026/05/05 17:56:53.880, 0, 0, 0, 1, 24564, 25.15, 44, 210, 405
2026/05/05 17:56:53.980, 0, 0, 0, 1, 24564, 25.15, 44, 210, 405
2026/05/05 17:56:54.080, 0, 0, 0, 1, 24564, 25.15, 44, 210, 405
2026/05/05 17:56:54.180, 0, 0, 0, 1, 24564, 25.15, 44, 210, 405
2026/05/05 17:56:54.280, 0, 0, 0, 1, 24564, 25.15, 44, 210, 405
2026/05/05 17:56:54.380, 0, 0, 0, 1, 24564, 25.15, 44, 210, 405
2026/05/05 17:56:54.480, 0, 0, 0, 1, 24564, 25.15, 44, 210, 405
2026/05/05 17:56:54.580, 0, 0, 0, 1, 24564, 25.15, 44, 210, 405
2026/05/05 17:56:54.680, 0, 0, 0, 1, 24564, 25.21, 44, 210, 405
2026/05/05 17:56:54.781, 0, 0, 0, 1, 24564, 25.21, 44, 210, 405
2026/05/05 17:56:54.881, 0, 0, 0, 1, 24564, 25.21, 44, 210, 405
2026/05/05 17:56:54.981, 0, 0, 0, 1, 24564, 25.21, 44, 210, 405
2026/05/05 17:56:55.081, 0, 0, 0, 1, 24564, 25.21, 44, 210, 405
2026/05/05 17:56:55.181, 0, 0, 0, 1, 24564, 25.21, 44, 210, 405
2026/05/05 17:56:55.281, 0, 0, 0, 1, 24564, 25.21, 44, 210, 405
2026/05/05 17:56:55.381, 0, 0, 0, 1, 24564, 25.21, 44, 210, 405
2026/05/05 17:56:55.481, 0, 0, 0, 1, 24564, 25.21, 44, 210, 405
2026/05/05 17:56:55.581, 0, 0, 0, 1, 24564, 25.21, 44, 210, 405
2026/05/05 17:56:55.682, 0, 0, 0, 1, 24564, 25.03, 44, 210, 405
2026/05/05 17:56:55.782, 0, 0, 0, 1, 24564, 25.03, 44, 210, 405
2026/05/05 17:56:55.882, 0, 0, 0, 1, 24564, 25.03, 44, 210, 405
2026/05/05 17:56:55.982, 0, 0, 0, 1, 24564, 25.03, 44, 210, 405
2026/05/05 17:56:56.082, 0, 0, 0, 1, 24564, 25.03, 44, 210, 405
2026/05/05 17:56:56.183, 0, 0, 0, 1, 24564, 25.03, 44, 210, 405
2026/05/05 17:56:56.283, 0, 0, 0, 1, 24564, 25.03, 44, 210, 405
2026/05/05 17:56:56.383, 0, 0, 0, 1, 24564, 25.03, 44, 210, 405
2026/05/05 17:56:56.483, 0, 0, 0, 1, 24564, 25.03, 44, 210, 405
