Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,128.00,128.00,128.00,3840.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,30.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,30.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),32.37,32.28,32.46,971.12,32.29,32.30,32.32,32.35,32.38,32.39,32.41,32.42,32.45,0.04
HTTP Data Sent (KB),0.68,0.59,0.74,20.27,0.60,0.62,0.65,0.66,0.67,0.70,0.71,0.73,0.74,0.03
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),2841.50,2807.00,2902.70,85245.05,2808.03,2810.57,2812.58,2815.26,2821.84,2879.26,2897.27,2898.60,2901.56,34.41
HTTP Receiving (ms),2639.91,2605.20,2700.83,79197.35,2606.33,2609.22,2611.22,2614.21,2620.71,2678.03,2695.00,2696.01,2699.48,34.10
HTTP Sending (ms),0.11,0.08,0.15,3.39,0.08,0.08,0.08,0.10,0.12,0.13,0.13,0.13,0.14,0.02
HTTP Total Time (ms),2841.50,2807.00,2902.70,85245.05,2808.03,2810.57,2812.58,2815.26,2821.84,2879.26,2897.27,2898.60,2901.56,34.41
HTTP Waiting (TTFB) (ms),201.48,200.46,205.44,6044.31,200.59,200.93,200.97,201.18,201.33,201.54,201.79,202.22,204.59,0.82
Input Sequence Length (tokens),128.00,128.00,128.00,3840.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Inter Chunk Latency (ms),20.79,16.28,25.41,79197.19,19.59,20.42,20.47,20.54,20.67,21.11,21.26,21.34,21.92,0.50
Inter Token Latency (ms),20.79,20.51,21.27,623.60,20.52,20.54,20.56,20.58,20.64,21.09,21.22,21.23,21.26,0.27
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),128.00,128.00,128.00,3840.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Count (tokens),128.00,128.00,128.00,3840.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Throughput Per User (tokens/sec/user),48.12,47.02,48.75,1443.47,47.05,47.11,47.12,47.43,48.46,48.58,48.64,48.67,48.73,0.61
Prefill Throughput Per User (tokens/sec/user),634.79,622.52,638.16,19043.73,625.18,632.52,633.90,634.54,635.22,635.73,636.33,636.67,637.74,2.54
Request Latency (ms),2841.55,2807.06,2902.73,85246.53,2808.09,2810.63,2812.63,2815.31,2821.89,2879.30,2897.31,2898.64,2901.60,34.41
Time to First Output Token (ms),201.64,200.58,205.62,6049.33,200.71,201.05,201.15,201.34,201.50,201.72,201.93,202.37,204.75,0.82
Time to First Token (ms),201.64,200.58,205.62,6049.33,200.71,201.05,201.15,201.34,201.50,201.72,201.93,202.37,204.75,0.82
Time to Second Token (ms),20.90,20.41,21.90,626.92,20.42,20.47,20.53,20.56,20.70,21.23,21.41,21.63,21.82,0.41

Metric,Value
Benchmark Duration (sec),85.30
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),45.02
Request Count,30.00
Request Throughput (requests/sec),0.35
Total Input Sequence Length (tokens),3840.00
Total Output Sequence Length (tokens),3840.00
Total Output Tokens (tokens),3840.00
Total Token Throughput (tokens/sec),90.04


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
