timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/05/05 18:05:48.623, 0, 0, 0, 1, 24564, 24.51, 43, 210, 405
2026/05/05 18:05:48.728, 0, 0, 0, 1, 24564, 24.51, 43, 210, 405
2026/05/05 18:05:48.828, 0, 0, 0, 1, 24564, 24.51, 43, 210, 405
2026/05/05 18:05:48.928, 0, 0, 0, 1, 24564, 24.51, 43, 210, 405
2026/05/05 18:05:49.028, 0, 0, 0, 1, 24564, 24.51, 43, 210, 405
2026/05/05 18:05:49.129, 0, 0, 0, 1, 24564, 24.51, 43, 210, 405
2026/05/05 18:05:49.230, 0, 0, 0, 1, 24564, 24.71, 43, 210, 405
2026/05/05 18:05:49.330, 0, 0, 0, 1, 24564, 24.71, 43, 210, 405
2026/05/05 18:05:49.431, 0, 0, 0, 1, 24564, 24.71, 43, 210, 405
2026/05/05 18:05:49.531, 0, 0, 0, 1, 24564, 24.71, 43, 210, 405
2026/05/05 18:05:49.631, 0, 0, 0, 1, 24564, 24.71, 43, 210, 405
2026/05/05 18:05:49.731, 0, 0, 0, 1, 24564, 24.71, 43, 210, 405
2026/05/05 18:05:49.832, 0, 0, 0, 1, 24564, 24.71, 43, 210, 405
2026/05/05 18:05:49.932, 0, 0, 0, 1, 24564, 24.71, 43, 210, 405
2026/05/05 18:05:50.032, 0, 0, 0, 1, 24564, 24.71, 43, 210, 405
2026/05/05 18:05:50.132, 0, 0, 0, 1, 24564, 24.71, 43, 210, 405
2026/05/05 18:05:50.233, 0, 0, 0, 1, 24564, 24.61, 44, 210, 405
2026/05/05 18:05:50.333, 0, 0, 0, 1, 24564, 24.61, 44, 210, 405
2026/05/05 18:05:50.433, 0, 0, 0, 1, 24564, 24.61, 44, 210, 405
2026/05/05 18:05:50.533, 0, 0, 0, 1, 24564, 24.61, 44, 210, 405
2026/05/05 18:05:50.633, 0, 0, 0, 1, 24564, 24.61, 44, 210, 405
2026/05/05 18:05:50.734, 0, 0, 0, 1, 24564, 24.61, 44, 210, 405
2026/05/05 18:05:50.834, 0, 0, 0, 1, 24564, 24.61, 44, 210, 405
2026/05/05 18:05:50.934, 0, 0, 0, 1, 24564, 24.61, 44, 210, 405
2026/05/05 18:05:51.034, 0, 0, 0, 1, 24564, 24.61, 44, 210, 405
2026/05/05 18:05:51.135, 0, 0, 0, 1, 24564, 24.61, 44, 210, 405
2026/05/05 18:05:51.235, 0, 0, 0, 1, 24564, 24.53, 44, 210, 405
2026/05/05 18:05:51.335, 0, 0, 0, 1, 24564, 24.53, 44, 210, 405
2026/05/05 18:05:51.435, 0, 0, 0, 1, 24564, 24.53, 44, 210, 405
2026/05/05 18:05:51.536, 0, 0, 0, 1, 24564, 24.53, 44, 210, 405
2026/05/05 18:05:51.636, 0, 0, 0, 1, 24564, 24.53, 44, 210, 405
2026/05/05 18:05:51.736, 0, 0, 0, 1, 24564, 24.53, 44, 210, 405
2026/05/05 18:05:51.836, 0, 0, 0, 1, 24564, 24.53, 44, 210, 405
2026/05/05 18:05:51.936, 0, 0, 0, 1, 24564, 24.53, 44, 210, 405
2026/05/05 18:05:52.037, 0, 0, 0, 1, 24564, 24.53, 44, 210, 405
2026/05/05 18:05:52.137, 0, 0, 0, 1, 24564, 24.53, 44, 210, 405
2026/05/05 18:05:52.237, 0, 0, 0, 1, 24564, 24.75, 44, 210, 405
2026/05/05 18:05:52.337, 0, 0, 0, 1, 24564, 24.75, 44, 210, 405
2026/05/05 18:05:52.438, 0, 0, 0, 1, 24564, 24.75, 44, 210, 405
2026/05/05 18:05:52.538, 0, 0, 0, 1, 24564, 24.75, 44, 210, 405
2026/05/05 18:05:52.638, 0, 0, 0, 1, 24564, 24.75, 44, 210, 405
2026/05/05 18:05:52.738, 0, 0, 0, 1, 24564, 24.75, 44, 210, 405
2026/05/05 18:05:52.838, 0, 0, 0, 1, 24564, 24.75, 44, 210, 405
2026/05/05 18:05:52.939, 0, 0, 0, 1, 24564, 24.75, 44, 210, 405
2026/05/05 18:05:53.039, 0, 0, 0, 1, 24564, 24.75, 44, 210, 405
2026/05/05 18:05:53.139, 0, 0, 0, 1, 24564, 24.75, 44, 210, 405
2026/05/05 18:05:53.239, 0, 0, 0, 1, 24564, 24.76, 44, 210, 405
2026/05/05 18:05:53.339, 0, 0, 0, 1, 24564, 24.76, 44, 210, 405
2026/05/05 18:05:53.440, 0, 0, 0, 1, 24564, 24.76, 44, 210, 405
2026/05/05 18:05:53.540, 0, 0, 0, 1, 24564, 24.76, 44, 210, 405
2026/05/05 18:05:53.712, 0, 0, 0, 1, 24564, 24.76, 44, 210, 405
2026/05/05 18:05:53.812, 0, 0, 0, 1, 24564, 24.76, 44, 210, 405
2026/05/05 18:05:53.912, 0, 0, 0, 1, 24564, 24.76, 44, 210, 405
2026/05/05 18:05:54.013, 0, 0, 0, 1, 24564, 24.76, 44, 210, 405
2026/05/05 18:05:54.113, 0, 0, 0, 1, 24564, 24.76, 44, 210, 405
2026/05/05 18:05:54.213, 0, 0, 0, 1, 24564, 24.76, 44, 210, 405
2026/05/05 18:05:54.313, 0, 0, 0, 1, 24564, 24.60, 44, 210, 405
2026/05/05 18:05:54.418, 0, 0, 0, 1, 24564, 24.60, 44, 210, 405
2026/05/05 18:05:54.518, 0, 0, 0, 1, 24564, 24.60, 44, 210, 405
2026/05/05 18:05:54.619, 0, 0, 0, 1, 24564, 24.60, 44, 210, 405
2026/05/05 18:05:54.719, 0, 0, 0, 1, 24564, 24.60, 44, 210, 405
2026/05/05 18:05:54.819, 0, 0, 0, 1, 24564, 24.60, 44, 210, 405
