Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,512.00,512.00,512.00,15360.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,30.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,30.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),128.52,128.20,128.86,3855.64,128.24,128.35,128.35,128.41,128.52,128.60,128.66,128.76,128.84,0.14
HTTP Data Sent (KB),4.45,3.89,4.87,133.42,3.97,4.19,4.22,4.36,4.42,4.53,4.71,4.77,4.85,0.19
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),74051.21,72214.49,76829.04,2221536.20,72328.15,72775.43,73107.64,73266.37,74065.76,74605.28,75044.03,75569.55,76528.49,960.63
HTTP Receiving (ms),35805.19,34175.57,38351.14,1074155.75,34227.39,34406.58,34853.23,35056.60,35767.54,36410.53,36875.82,37294.04,38125.38,921.51
HTTP Sending (ms),0.12,0.10,0.14,3.68,0.10,0.12,0.12,0.12,0.12,0.12,0.13,0.13,0.14,0.01
HTTP Total Time (ms),74051.21,72214.49,76829.04,2221536.20,72328.15,72775.43,73107.64,73266.37,74065.76,74605.28,75044.03,75569.55,76528.49,960.63
HTTP Waiting (TTFB) (ms),38245.89,37710.33,38806.31,1147376.77,37753.77,37893.10,37973.91,38088.30,38222.81,38428.83,38482.40,38539.84,38732.79,236.04
Input Sequence Length (tokens),1024.00,1024.00,1024.00,30720.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Inter Chunk Latency (ms),70.57,60.85,338.45,1074155.54,65.09,65.40,65.47,65.58,65.70,65.85,66.08,68.27,270.42,27.49
Inter Token Latency (ms),70.80,67.27,75.34,2123.90,67.44,68.10,68.52,69.49,70.78,72.07,72.66,74.37,75.26,1.92
OSL Mismatch Diff % (%),-1.00,-10.74,0.00,-30.08,-8.48,-2.49,-1.43,-1.17,-0.59,0.00,0.00,0.00,0.00,1.94
Output Sequence Length (tokens),506.87,457.00,512.00,15206.00,468.60,499.25,504.70,506.00,509.00,512.00,512.00,512.00,512.00,9.92
Output Token Count (tokens),506.87,457.00,512.00,15206.00,468.60,499.25,504.70,506.00,509.00,512.00,512.00,512.00,512.00,9.92
Output Token Throughput Per User (tokens/sec/user),14.14,13.27,14.86,424.06,13.29,13.45,13.76,13.88,14.13,14.39,14.59,14.69,14.83,0.38
Prefill Throughput Per User (tokens/sec/user),26.78,26.39,27.15,803.25,26.44,26.57,26.61,26.65,26.79,26.88,26.97,27.02,27.12,0.17
Request Latency (ms),74051.26,72214.54,76829.10,2221537.79,72328.20,72775.48,73107.69,73266.42,74065.81,74605.33,75044.09,75569.60,76528.55,960.63
Time to First Output Token (ms),38246.07,37710.53,38806.49,1147382.25,37753.96,37893.28,37974.09,38088.48,38222.99,38429.01,38482.59,38540.02,38732.97,236.04
Time to First Token (ms),38246.07,37710.53,38806.49,1147382.25,37753.96,37893.28,37974.09,38088.48,38222.99,38429.01,38482.59,38540.02,38732.97,236.04
Time to Second Token (ms),65.94,64.28,68.44,1978.11,64.54,65.25,65.39,65.58,65.67,65.88,67.45,68.14,68.41,0.89

Metric,Value
Benchmark Duration (sec),2221.68
OSL Mismatch Count,1.00
Output Token Throughput (tokens/sec),6.84
Request Count,30.00
Request Throughput (requests/sec),0.01
Total Input Sequence Length (tokens),30720.00
Total Output Sequence Length (tokens),15206.00
Total Output Tokens (tokens),15206.00
Total Token Throughput (tokens/sec),20.67


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
