Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,128.00,128.00,128.00,3840.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,30.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,30.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),32.37,32.28,32.45,971.01,32.29,32.30,32.32,32.34,32.36,32.40,32.41,32.43,32.44,0.04
HTTP Data Sent (KB),0.67,0.62,0.71,20.03,0.62,0.62,0.63,0.64,0.67,0.70,0.70,0.70,0.71,0.03
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),14388.50,13512.99,15232.81,431655.11,13559.84,13698.44,13814.79,14108.19,14397.17,14679.07,14986.92,15110.11,15222.71,439.05
HTTP Receiving (ms),9131.02,8376.01,10080.83,273930.56,8389.39,8458.34,8502.97,8880.34,9096.71,9449.67,9671.99,9770.18,10011.19,417.90
HTTP Sending (ms),0.12,0.08,0.13,3.48,0.08,0.08,0.08,0.12,0.12,0.13,0.13,0.13,0.13,0.02
HTTP Total Time (ms),14388.50,13512.99,15232.81,431655.11,13559.84,13698.44,13814.79,14108.19,14397.17,14679.07,14986.92,15110.11,15222.71,439.05
HTTP Waiting (TTFB) (ms),5257.37,5089.14,5769.32,157721.07,5093.14,5107.88,5116.73,5152.07,5216.51,5302.03,5390.58,5562.52,5747.39,153.63
Input Sequence Length (tokens),128.00,128.00,128.00,3840.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Inter Chunk Latency (ms),71.90,60.82,289.58,273930.40,64.82,65.09,65.15,65.28,65.43,65.61,65.93,79.57,271.86,31.85
Inter Token Latency (ms),71.90,65.95,79.38,2156.93,66.06,66.60,66.95,69.92,71.63,74.41,76.16,76.93,78.83,3.29
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),128.00,128.00,128.00,3840.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Count (tokens),128.00,128.00,128.00,3840.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Throughput Per User (tokens/sec/user),13.94,12.60,15.16,418.13,12.69,13.00,13.13,13.44,13.96,14.30,14.94,15.02,15.14,0.64
Prefill Throughput Per User (tokens/sec/user),24.37,22.19,25.15,730.97,22.27,23.03,23.74,24.14,24.54,24.84,25.02,25.06,25.13,0.68
Request Latency (ms),14388.56,13513.06,15232.87,431656.68,13559.91,13698.50,13814.85,14108.24,14397.22,14679.12,14986.98,15110.16,15222.77,439.05
Time to First Output Token (ms),5257.54,5089.32,5769.51,157726.28,5093.32,5108.07,5116.91,5152.25,5216.70,5302.20,5390.76,5562.71,5747.58,153.63
Time to First Token (ms),5257.54,5089.32,5769.51,157726.28,5093.32,5108.07,5116.91,5152.25,5216.70,5302.20,5390.76,5562.71,5747.58,153.63
Time to Second Token (ms),65.73,65.30,66.31,1971.81,65.34,65.45,65.47,65.54,65.70,65.84,66.05,66.25,66.29,0.24

Metric,Value
Benchmark Duration (sec),431.71
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),8.89
Request Count,30.00
Request Throughput (requests/sec),0.07
Total Input Sequence Length (tokens),3840.00
Total Output Sequence Length (tokens),3840.00
Total Output Tokens (tokens),3840.00
Total Token Throughput (tokens/sec),17.79


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
