timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/05/05 16:58:01.348, 0, 0, 0, 1, 24564, 25.98, 46, 210, 405
2026/05/05 16:58:01.452, 0, 0, 0, 1, 24564, 25.98, 46, 210, 405
2026/05/05 16:58:01.552, 0, 0, 0, 1, 24564, 25.98, 46, 210, 405
2026/05/05 16:58:01.652, 0, 0, 0, 1, 24564, 25.98, 46, 210, 405
2026/05/05 16:58:01.752, 0, 0, 0, 1, 24564, 25.98, 46, 210, 405
2026/05/05 16:58:01.853, 0, 0, 0, 1, 24564, 25.98, 46, 210, 405
2026/05/05 16:58:01.954, 0, 0, 0, 1, 24564, 26.20, 46, 210, 405
2026/05/05 16:58:02.054, 0, 0, 0, 1, 24564, 26.20, 46, 210, 405
2026/05/05 16:58:02.155, 0, 0, 0, 1, 24564, 26.20, 46, 210, 405
2026/05/05 16:58:02.255, 0, 0, 0, 1, 24564, 26.20, 46, 210, 405
2026/05/05 16:58:02.355, 0, 0, 0, 1, 24564, 26.20, 46, 210, 405
2026/05/05 16:58:02.455, 0, 0, 0, 1, 24564, 26.20, 46, 210, 405
2026/05/05 16:58:02.556, 0, 0, 0, 1, 24564, 26.20, 46, 210, 405
2026/05/05 16:58:02.656, 0, 0, 0, 1, 24564, 26.20, 46, 210, 405
2026/05/05 16:58:02.756, 0, 0, 0, 1, 24564, 26.20, 46, 210, 405
2026/05/05 16:58:02.856, 0, 0, 0, 1, 24564, 26.20, 46, 210, 405
2026/05/05 16:58:02.957, 0, 0, 0, 1, 24564, 26.13, 46, 210, 405
2026/05/05 16:58:03.057, 0, 0, 0, 1, 24564, 26.13, 46, 210, 405
2026/05/05 16:58:03.157, 0, 0, 0, 1, 24564, 26.13, 46, 210, 405
2026/05/05 16:58:03.257, 0, 0, 0, 1, 24564, 26.13, 46, 210, 405
2026/05/05 16:58:03.357, 0, 0, 0, 1, 24564, 26.13, 46, 210, 405
2026/05/05 16:58:03.458, 0, 0, 0, 1, 24564, 26.13, 46, 210, 405
2026/05/05 16:58:03.558, 0, 0, 0, 1, 24564, 26.13, 46, 210, 405
2026/05/05 16:58:03.658, 0, 0, 0, 1, 24564, 26.13, 46, 210, 405
2026/05/05 16:58:03.758, 0, 0, 0, 1, 24564, 26.13, 46, 210, 405
2026/05/05 16:58:03.859, 0, 0, 0, 1, 24564, 26.13, 46, 210, 405
2026/05/05 16:58:03.959, 0, 0, 0, 1, 24564, 25.93, 46, 210, 405
2026/05/05 16:58:04.059, 0, 0, 0, 1, 24564, 25.93, 46, 210, 405
2026/05/05 16:58:04.159, 0, 0, 0, 1, 24564, 25.93, 46, 210, 405
2026/05/05 16:58:04.260, 0, 0, 0, 1, 24564, 25.93, 46, 210, 405
2026/05/05 16:58:04.360, 0, 0, 0, 1, 24564, 25.93, 46, 210, 405
2026/05/05 16:58:04.460, 0, 0, 0, 1, 24564, 25.93, 46, 210, 405
2026/05/05 16:58:04.560, 0, 0, 0, 1, 24564, 25.93, 46, 210, 405
2026/05/05 16:58:04.660, 0, 0, 0, 1, 24564, 25.93, 46, 210, 405
2026/05/05 16:58:04.761, 0, 0, 0, 1, 24564, 25.93, 46, 210, 405
2026/05/05 16:58:04.861, 0, 0, 0, 1, 24564, 25.93, 46, 210, 405
2026/05/05 16:58:04.961, 0, 0, 0, 1, 24564, 25.80, 46, 210, 405
2026/05/05 16:58:05.061, 0, 0, 0, 1, 24564, 25.80, 46, 210, 405
2026/05/05 16:58:05.161, 0, 0, 0, 1, 24564, 25.80, 46, 210, 405
2026/05/05 16:58:05.262, 0, 0, 0, 1, 24564, 25.80, 46, 210, 405
2026/05/05 16:58:05.362, 0, 0, 0, 1, 24564, 25.80, 46, 210, 405
2026/05/05 16:58:05.462, 0, 0, 0, 1, 24564, 25.80, 46, 210, 405
2026/05/05 16:58:05.562, 0, 0, 0, 1, 24564, 25.80, 46, 210, 405
2026/05/05 16:58:05.663, 0, 0, 0, 1, 24564, 25.80, 46, 210, 405
2026/05/05 16:58:05.763, 0, 0, 0, 1, 24564, 25.80, 46, 210, 405
2026/05/05 16:58:05.863, 0, 0, 0, 1, 24564, 25.80, 46, 210, 405
2026/05/05 16:58:05.963, 0, 0, 0, 1, 24564, 25.53, 46, 210, 405
2026/05/05 16:58:06.064, 0, 0, 0, 1, 24564, 25.53, 46, 210, 405
2026/05/05 16:58:06.164, 0, 0, 0, 1, 24564, 25.53, 46, 210, 405
2026/05/05 16:58:06.265, 0, 0, 0, 1, 24564, 25.53, 46, 210, 405
2026/05/05 16:58:06.365, 0, 0, 0, 1, 24564, 25.53, 46, 210, 405
2026/05/05 16:58:06.465, 0, 0, 0, 1, 24564, 25.53, 46, 210, 405
2026/05/05 16:58:06.565, 0, 0, 0, 1, 24564, 25.53, 46, 210, 405
2026/05/05 16:58:06.666, 0, 0, 0, 1, 24564, 25.53, 46, 210, 405
2026/05/05 16:58:06.766, 0, 0, 0, 1, 24564, 25.53, 46, 210, 405
2026/05/05 16:58:06.866, 0, 0, 0, 1, 24564, 25.53, 46, 210, 405
2026/05/05 16:58:06.966, 0, 0, 0, 1, 24564, 25.28, 46, 210, 405
2026/05/05 16:58:07.067, 0, 0, 0, 1, 24564, 25.28, 46, 210, 405
2026/05/05 16:58:07.167, 0, 0, 0, 1, 24564, 25.28, 46, 210, 405
2026/05/05 16:58:07.295, 0, 0, 0, 1, 24564, 25.28, 46, 210, 405
2026/05/05 16:58:07.395, 0, 0, 0, 1, 24564, 25.28, 46, 210, 405
2026/05/05 16:58:07.495, 0, 0, 0, 1, 24564, 25.28, 46, 210, 405
2026/05/05 16:58:07.595, 0, 0, 0, 1, 24564, 25.28, 46, 210, 405
2026/05/05 16:58:07.696, 0, 0, 0, 1, 24564, 25.28, 46, 210, 405
2026/05/05 16:58:07.796, 0, 0, 0, 1, 24564, 25.28, 46, 210, 405
2026/05/05 16:58:07.898, 0, 0, 0, 1, 24564, 25.28, 46, 210, 405
2026/05/05 16:58:07.998, 0, 0, 0, 1, 24564, 25.48, 46, 210, 405
2026/05/05 16:58:08.099, 0, 0, 0, 1, 24564, 25.48, 46, 210, 405
2026/05/05 16:58:08.199, 0, 0, 0, 1, 24564, 25.48, 46, 210, 405
2026/05/05 16:58:08.299, 0, 0, 0, 1, 24564, 25.48, 46, 210, 405
2026/05/05 16:58:08.399, 0, 0, 0, 1, 24564, 25.48, 46, 210, 405
2026/05/05 16:58:08.499, 0, 0, 0, 1, 24564, 25.48, 46, 210, 405
2026/05/05 16:58:08.600, 0, 0, 0, 1, 24564, 25.48, 46, 210, 405
2026/05/05 16:58:08.700, 0, 0, 0, 1, 24564, 25.48, 46, 210, 405
2026/05/05 16:58:08.800, 0, 0, 0, 1, 24564, 25.48, 46, 210, 405
2026/05/05 16:58:08.900, 0, 0, 0, 1, 24564, 25.48, 46, 210, 405
2026/05/05 16:58:09.000, 0, 0, 0, 1, 24564, 25.59, 46, 210, 405
2026/05/05 16:58:09.101, 0, 0, 0, 1, 24564, 25.59, 46, 210, 405
2026/05/05 16:58:09.201, 0, 0, 0, 1, 24564, 25.59, 46, 210, 405
2026/05/05 16:58:09.301, 0, 0, 0, 1, 24564, 25.59, 46, 210, 405
2026/05/05 16:58:09.401, 0, 0, 0, 1, 24564, 25.59, 46, 210, 405
2026/05/05 16:58:09.501, 0, 0, 0, 1, 24564, 25.59, 46, 210, 405
2026/05/05 16:58:09.602, 0, 0, 0, 1, 24564, 25.59, 46, 210, 405
2026/05/05 16:58:09.702, 0, 0, 0, 1, 24564, 25.59, 46, 210, 405
2026/05/05 16:58:09.802, 0, 0, 0, 1, 24564, 25.59, 46, 210, 405
2026/05/05 16:58:09.902, 0, 0, 0, 1, 24564, 25.59, 46, 210, 405
2026/05/05 16:58:10.002, 0, 0, 0, 1, 24564, 25.45, 46, 210, 405
2026/05/05 16:58:10.103, 0, 0, 0, 1, 24564, 25.45, 46, 210, 405
2026/05/05 16:58:10.203, 0, 0, 0, 1, 24564, 25.45, 46, 210, 405
2026/05/05 16:58:10.303, 0, 0, 0, 1, 24564, 25.45, 46, 210, 405
2026/05/05 16:58:10.403, 0, 0, 0, 1, 24564, 25.45, 46, 210, 405
2026/05/05 16:58:10.503, 0, 0, 0, 1, 24564, 25.45, 46, 210, 405
2026/05/05 16:58:10.604, 0, 0, 0, 1, 24564, 25.45, 46, 210, 405
2026/05/05 16:58:10.704, 0, 0, 0, 1, 24564, 25.45, 46, 210, 405
2026/05/05 16:58:10.804, 0, 0, 0, 1, 24564, 25.45, 46, 210, 405
2026/05/05 16:58:10.904, 0, 0, 0, 1, 24564, 25.45, 46, 210, 405
2026/05/05 16:58:11.004, 0, 0, 0, 1, 24564, 25.58, 46, 210, 405
2026/05/05 16:58:11.105, 0, 0, 0, 1, 24564, 25.58, 46, 210, 405
2026/05/05 16:58:11.205, 0, 0, 0, 1, 24564, 25.58, 46, 210, 405
2026/05/05 16:58:11.305, 0, 0, 0, 1, 24564, 25.58, 46, 210, 405
2026/05/05 16:58:11.405, 0, 0, 0, 1, 24564, 25.58, 46, 210, 405
2026/05/05 16:58:11.506, 0, 0, 0, 1, 24564, 25.58, 46, 210, 405
2026/05/05 16:58:11.606, 0, 0, 0, 1, 24564, 25.58, 46, 210, 405
2026/05/05 16:58:11.706, 0, 0, 0, 1, 24564, 25.58, 46, 210, 405
2026/05/05 16:58:11.806, 0, 0, 0, 1, 24564, 25.58, 46, 210, 405
2026/05/05 16:58:11.906, 0, 0, 0, 1, 24564, 25.58, 46, 210, 405
2026/05/05 16:58:12.007, 0, 0, 0, 1, 24564, 25.66, 46, 210, 405
2026/05/05 16:58:12.107, 0, 0, 0, 1, 24564, 25.66, 46, 210, 405
2026/05/05 16:58:12.207, 0, 0, 0, 1, 24564, 25.66, 46, 210, 405
2026/05/05 16:58:12.307, 0, 0, 0, 1, 24564, 25.66, 46, 210, 405
2026/05/05 16:58:12.407, 0, 0, 0, 1, 24564, 25.66, 46, 210, 405
2026/05/05 16:58:12.508, 0, 0, 0, 1, 24564, 25.66, 46, 210, 405
2026/05/05 16:58:12.608, 0, 0, 0, 1, 24564, 25.66, 46, 210, 405
2026/05/05 16:58:12.708, 0, 0, 0, 1, 24564, 25.66, 46, 210, 405
2026/05/05 16:58:12.808, 0, 0, 0, 1, 24564, 25.66, 46, 210, 405
2026/05/05 16:58:12.909, 0, 0, 0, 1, 24564, 25.66, 46, 210, 405
2026/05/05 16:58:13.009, 0, 0, 0, 1, 24564, 25.68, 46, 210, 405
2026/05/05 16:58:13.109, 0, 0, 0, 1, 24564, 25.68, 46, 210, 405
2026/05/05 16:58:13.209, 0, 0, 0, 1, 24564, 25.68, 46, 210, 405
2026/05/05 16:58:13.309, 0, 0, 0, 1, 24564, 25.68, 46, 210, 405
2026/05/05 16:58:13.410, 0, 0, 0, 1, 24564, 25.68, 46, 210, 405
2026/05/05 16:58:13.510, 0, 0, 0, 1, 24564, 25.68, 46, 210, 405
2026/05/05 16:58:13.610, 0, 0, 0, 1, 24564, 25.68, 46, 210, 405
2026/05/05 16:58:13.710, 0, 0, 0, 1, 24564, 25.68, 46, 210, 405
2026/05/05 16:58:13.810, 0, 0, 0, 1, 24564, 25.68, 46, 210, 405
2026/05/05 16:58:13.911, 0, 0, 0, 1, 24564, 25.68, 46, 210, 405
2026/05/05 16:58:14.011, 0, 0, 0, 1, 24564, 25.80, 46, 210, 405
2026/05/05 16:58:14.111, 0, 0, 0, 1, 24564, 25.80, 46, 210, 405
2026/05/05 16:58:14.211, 0, 0, 0, 1, 24564, 25.80, 46, 210, 405
2026/05/05 16:58:14.312, 0, 0, 0, 1, 24564, 25.80, 46, 210, 405
2026/05/05 16:58:14.412, 0, 0, 0, 1, 24564, 25.80, 46, 210, 405
2026/05/05 16:58:14.512, 0, 0, 0, 1, 24564, 25.80, 46, 210, 405
2026/05/05 16:58:14.612, 0, 0, 0, 1, 24564, 25.80, 46, 210, 405
2026/05/05 16:58:14.713, 0, 0, 0, 1, 24564, 25.80, 46, 210, 405
2026/05/05 16:58:14.813, 0, 0, 0, 1, 24564, 25.80, 46, 210, 405
2026/05/05 16:58:14.913, 0, 0, 0, 1, 24564, 25.80, 46, 210, 405
2026/05/05 16:58:15.013, 0, 0, 0, 1, 24564, 25.71, 46, 210, 405
2026/05/05 16:58:15.113, 0, 0, 0, 1, 24564, 25.71, 46, 210, 405
2026/05/05 16:58:15.214, 0, 0, 0, 1, 24564, 25.71, 46, 210, 405
2026/05/05 16:58:15.314, 0, 0, 0, 1, 24564, 25.71, 46, 210, 405
2026/05/05 16:58:15.414, 0, 0, 0, 1, 24564, 25.71, 46, 210, 405
2026/05/05 16:58:15.514, 0, 0, 0, 1, 24564, 25.71, 46, 210, 405
2026/05/05 16:58:15.614, 0, 0, 0, 1, 24564, 25.71, 46, 210, 405
2026/05/05 16:58:15.715, 0, 0, 0, 1, 24564, 25.71, 46, 210, 405
2026/05/05 16:58:15.815, 0, 0, 0, 1, 24564, 25.71, 46, 210, 405
2026/05/05 16:58:15.915, 0, 0, 0, 1, 24564, 25.71, 46, 210, 405
2026/05/05 16:58:16.015, 0, 0, 0, 1, 24564, 25.79, 46, 210, 405
2026/05/05 16:58:16.116, 0, 0, 0, 1, 24564, 25.79, 46, 210, 405
2026/05/05 16:58:16.216, 0, 0, 0, 1, 24564, 25.79, 46, 210, 405
2026/05/05 16:58:16.316, 0, 0, 0, 1, 24564, 25.79, 46, 210, 405
2026/05/05 16:58:16.416, 0, 0, 0, 1, 24564, 25.79, 46, 210, 405
2026/05/05 16:58:16.517, 0, 0, 0, 1, 24564, 25.79, 46, 210, 405
2026/05/05 16:58:16.617, 0, 0, 0, 1, 24564, 25.79, 46, 210, 405
2026/05/05 16:58:16.718, 0, 0, 0, 1, 24564, 25.79, 46, 210, 405
2026/05/05 16:58:16.818, 0, 0, 0, 1, 24564, 25.79, 46, 210, 405
2026/05/05 16:58:16.918, 0, 0, 0, 1, 24564, 25.79, 46, 210, 405
2026/05/05 16:58:17.019, 0, 0, 0, 1, 24564, 25.84, 46, 210, 405
2026/05/05 16:58:17.119, 0, 0, 0, 1, 24564, 25.84, 46, 210, 405
2026/05/05 16:58:17.219, 0, 0, 0, 1, 24564, 25.84, 46, 210, 405
2026/05/05 16:58:17.319, 0, 0, 0, 1, 24564, 25.84, 46, 210, 405
2026/05/05 16:58:17.420, 0, 0, 0, 1, 24564, 25.84, 46, 210, 405
2026/05/05 16:58:17.520, 0, 0, 0, 1, 24564, 25.84, 46, 210, 405
2026/05/05 16:58:17.620, 0, 0, 0, 1, 24564, 25.84, 46, 210, 405
2026/05/05 16:58:17.720, 0, 0, 0, 1, 24564, 25.84, 46, 210, 405
2026/05/05 16:58:17.821, 0, 0, 0, 1, 24564, 25.84, 46, 210, 405
2026/05/05 16:58:17.921, 0, 0, 0, 1, 24564, 25.84, 46, 210, 405
2026/05/05 16:58:18.021, 0, 0, 0, 1, 24564, 25.74, 46, 210, 405
2026/05/05 16:58:18.121, 0, 0, 0, 1, 24564, 25.74, 46, 210, 405
2026/05/05 16:58:18.221, 0, 0, 0, 1, 24564, 25.74, 46, 210, 405
2026/05/05 16:58:18.322, 0, 0, 0, 1, 24564, 25.74, 46, 210, 405
2026/05/05 16:58:18.422, 0, 0, 0, 1, 24564, 25.74, 46, 210, 405
2026/05/05 16:58:18.522, 0, 0, 0, 1, 24564, 25.74, 46, 210, 405
2026/05/05 16:58:18.622, 0, 0, 0, 1, 24564, 25.74, 46, 210, 405
2026/05/05 16:58:18.722, 0, 0, 0, 1, 24564, 25.74, 46, 210, 405
2026/05/05 16:58:18.822, 0, 0, 0, 1, 24564, 25.74, 46, 210, 405
2026/05/05 16:58:18.923, 0, 0, 0, 1, 24564, 25.74, 46, 210, 405
2026/05/05 16:58:19.023, 0, 0, 0, 1, 24564, 25.75, 46, 210, 405
2026/05/05 16:58:19.123, 0, 0, 0, 1, 24564, 25.75, 46, 210, 405
2026/05/05 16:58:19.223, 0, 0, 0, 1, 24564, 25.75, 46, 210, 405
2026/05/05 16:58:19.323, 0, 0, 0, 1, 24564, 25.75, 46, 210, 405
2026/05/05 16:58:19.424, 0, 0, 0, 1, 24564, 25.75, 46, 210, 405
2026/05/05 16:58:19.524, 0, 0, 0, 1, 24564, 25.75, 46, 210, 405
2026/05/05 16:58:19.624, 0, 0, 0, 1, 24564, 25.75, 46, 210, 405
2026/05/05 16:58:19.724, 0, 0, 0, 1, 24564, 25.75, 46, 210, 405
2026/05/05 16:58:19.825, 0, 0, 0, 1, 24564, 25.75, 46, 210, 405
2026/05/05 16:58:19.925, 0, 0, 0, 1, 24564, 25.75, 46, 210, 405
2026/05/05 16:58:20.025, 0, 0, 0, 1, 24564, 25.70, 46, 210, 405
2026/05/05 16:58:20.125, 0, 0, 0, 1, 24564, 25.70, 46, 210, 405
2026/05/05 16:58:20.225, 0, 0, 0, 1, 24564, 25.70, 46, 210, 405
2026/05/05 16:58:20.325, 0, 0, 0, 1, 24564, 25.70, 46, 210, 405
2026/05/05 16:58:20.426, 0, 0, 0, 1, 24564, 25.70, 46, 210, 405
2026/05/05 16:58:20.526, 0, 0, 0, 1, 24564, 25.70, 46, 210, 405
2026/05/05 16:58:20.626, 0, 0, 0, 1, 24564, 25.70, 46, 210, 405
2026/05/05 16:58:20.726, 0, 0, 0, 1, 24564, 25.70, 46, 210, 405
2026/05/05 16:58:20.827, 0, 0, 0, 1, 24564, 25.70, 46, 210, 405
2026/05/05 16:58:20.927, 0, 0, 0, 1, 24564, 25.70, 46, 210, 405
2026/05/05 16:58:21.027, 0, 0, 0, 1, 24564, 25.75, 46, 210, 405
2026/05/05 16:58:21.127, 0, 0, 0, 1, 24564, 25.75, 46, 210, 405
2026/05/05 16:58:21.228, 0, 0, 0, 1, 24564, 25.75, 46, 210, 405
2026/05/05 16:58:21.328, 0, 0, 0, 1, 24564, 25.75, 46, 210, 405
2026/05/05 16:58:21.428, 0, 0, 0, 1, 24564, 25.75, 46, 210, 405
2026/05/05 16:58:21.528, 0, 0, 0, 1, 24564, 25.75, 46, 210, 405
2026/05/05 16:58:21.629, 0, 0, 0, 1, 24564, 25.75, 46, 210, 405
2026/05/05 16:58:21.729, 0, 0, 0, 1, 24564, 25.75, 46, 210, 405
2026/05/05 16:58:21.829, 0, 0, 0, 1, 24564, 25.75, 46, 210, 405
2026/05/05 16:58:21.929, 0, 0, 0, 1, 24564, 25.75, 46, 210, 405
2026/05/05 16:58:22.029, 0, 0, 0, 1, 24564, 25.79, 46, 210, 405
2026/05/05 16:58:22.130, 0, 0, 0, 1, 24564, 25.79, 46, 210, 405
2026/05/05 16:58:22.230, 0, 0, 0, 1, 24564, 25.79, 46, 210, 405
2026/05/05 16:58:22.330, 0, 0, 0, 1, 24564, 25.79, 46, 210, 405
2026/05/05 16:58:22.430, 0, 0, 0, 1, 24564, 25.79, 46, 210, 405
2026/05/05 16:58:22.530, 0, 0, 0, 1, 24564, 25.79, 46, 210, 405
2026/05/05 16:58:22.631, 0, 0, 0, 1, 24564, 25.79, 46, 210, 405
2026/05/05 16:58:22.731, 0, 0, 0, 1, 24564, 25.79, 46, 210, 405
