Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,128.00,128.00,128.00,3840.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,30.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,30.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),32.36,32.30,32.45,970.95,32.30,32.31,32.32,32.34,32.36,32.39,32.41,32.43,32.44,0.04
HTTP Data Sent (KB),0.67,0.59,0.73,20.09,0.59,0.61,0.62,0.66,0.68,0.69,0.70,0.72,0.73,0.03
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),5585.83,5561.90,5648.39,167574.91,5562.27,5564.56,5567.01,5575.18,5581.13,5586.71,5610.67,5630.32,5644.40,19.98
HTTP Receiving (ms),4795.49,4772.33,4857.85,143864.76,4772.74,4774.54,4776.76,4783.98,4788.95,4797.14,4819.52,4841.38,4854.21,20.33
HTTP Sending (ms),0.10,0.08,0.13,3.02,0.08,0.08,0.08,0.08,0.09,0.12,0.13,0.13,0.13,0.02
HTTP Total Time (ms),5585.83,5561.90,5648.39,167574.91,5562.27,5564.56,5567.01,5575.18,5581.13,5586.71,5610.67,5630.32,5644.40,19.98
HTTP Waiting (TTFB) (ms),790.24,787.06,800.18,23707.13,787.18,787.89,788.46,789.22,789.50,791.28,791.92,793.07,798.28,2.32
Input Sequence Length (tokens),128.00,128.00,128.00,3840.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Inter Chunk Latency (ms),37.78,33.66,113.13,143864.56,37.30,37.43,37.48,37.57,37.66,37.77,37.90,38.03,40.98,1.93
Inter Token Latency (ms),37.77,37.58,38.25,1133.09,37.58,37.59,37.61,37.67,37.71,37.79,38.04,38.12,38.22,0.17
OSL Mismatch Diff % (%),-0.03,-0.78,0.00,-0.78,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14
Output Sequence Length (tokens),127.97,127.00,128.00,3839.00,127.29,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.18
Output Token Count (tokens),127.97,127.00,128.00,3839.00,127.29,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.18
Output Token Throughput Per User (tokens/sec/user),26.48,26.14,26.61,794.30,26.16,26.23,26.29,26.46,26.52,26.55,26.59,26.60,26.61,0.12
Prefill Throughput Per User (tokens/sec/user),161.95,159.93,162.59,4858.39,160.32,161.37,161.60,161.73,162.09,162.16,162.30,162.43,162.57,0.47
Request Latency (ms),5585.88,5561.94,5648.45,167576.33,5562.31,5564.62,5567.05,5575.23,5581.19,5586.75,5610.71,5630.37,5644.45,19.99
Time to First Output Token (ms),790.39,787.25,800.33,23711.77,787.36,788.02,788.65,789.37,789.67,791.42,792.10,793.20,798.42,2.31
Time to First Token (ms),790.39,787.25,800.33,23711.77,787.36,788.02,788.65,789.37,789.67,791.42,792.10,793.20,798.42,2.31
Time to Second Token (ms),37.79,37.29,38.69,1133.72,37.35,37.52,37.54,37.66,37.77,37.85,38.11,38.21,38.57,0.26

Metric,Value
Benchmark Duration (sec),167.62
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),22.90
Request Count,30.00
Request Throughput (requests/sec),0.18
Total Input Sequence Length (tokens),3840.00
Total Output Sequence Length (tokens),3839.00
Total Output Tokens (tokens),3839.00
Total Token Throughput (tokens/sec),45.81


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
