experiment_name,display_name,parallelism,machine_name,node_name,gpu_util_avg,gpu_util_std,gpu_util_p50,gpu_util_p90,gpu_util_p99,memory_used_avg_mib,memory_used_std_mib,memory_used_p90_mib,power_draw_avg_w,power_draw_std_w,power_draw_p90_w,temperature_avg_c,temperature_std_c,temperature_p90_c
N1_tupi_none_long_r1_780636,"TUPI (1 node)
Single GPU
Long",Single GPU,tupi3,tupi3,56.989053314413134,45.30421503139083,92.0,95.0,96.0,17420.294141496048,6368.9243819572985,20996.0,205.17302858301235,133.89302954347957,315.2,55.90796675451044,6.2003619591016,61.0
N1_tupi_none_short_r1_780637,"TUPI (1 node)
Single GPU
Short",Single GPU,tupi3,tupi3,52.04002965159377,45.61030128580505,92.0,93.0,96.0,15314.063750926613,9123.129722096464,20998.0,192.87005930318753,128.47889305746855,310.3,53.30318754633061,6.825669187829464,61.0
N2_poti_PP_long_r1_780630,"POTI (2 nodes)
Pipeline Parallel
Long",PP,poti[3-4],poti4,69.62068965517241,31.283034769658396,83.0,86.0,99.0,9197.678299404515,3736.662197702033,10739.0,96.01324885749897,36.51587469642655,114.12,58.208835341365464,6.618189033342545,63.0
N2_poti_PP_long_r1_780630,"POTI (2 nodes)
Pipeline Parallel
Long",PP,poti[3-4],poti3,38.033697768458886,14.252334266899473,42.0,44.0,61.0,9484.265837951176,2625.885869441317,10239.0,90.43276621237082,23.98078897837128,99.68,55.65837951175678,3.9817920607092185,59.0
N2_poti_PP_short_r1_780628,"POTI (2 nodes)
Pipeline Parallel
Short",PP,poti[3-4],poti4,43.55830388692579,41.63597687661064,82.0,84.0,87.0,6475.942402826855,5040.997626623081,10567.0,65.82571378091873,47.765118041916374,112.21,51.03498233215548,7.137926541794469,59.0
N2_poti_PP_short_r1_780628,"POTI (2 nodes)
Pipeline Parallel
Short",PP,poti[3-4],poti3,27.93813974187806,20.047388220269358,40.0,44.0,44.0,7716.234534935469,4021.1729184383794,9955.0,70.70108589230085,37.145425879046236,99.07,48.864263462394305,8.088546048848407,57.0
N2_poti_TP_long_r1_780629,"POTI (2 nodes)
Tensor Parallel
Long",TP,poti[1-2],poti1,87.98016386373436,28.50768704432531,97.0,100.0,100.0,10132.04642805807,2588.2081257475606,10859.0,98.30000431220354,35.3192004105335,121.96,56.80221359781515,6.386621722000163,62.0
N2_poti_TP_long_r1_780629,"POTI (2 nodes)
Tensor Parallel
Long",TP,poti[1-2],poti2,80.71744895253248,35.84214622744953,96.0,100.0,100.0,9342.624105011933,3682.462842236162,10859.0,88.00997613365155,41.445463514219036,118.48,60.800848581278174,6.822827221866341,67.0
N2_poti_TP_short_r1_780627,"POTI (2 nodes)
Tensor Parallel
Short",TP,poti[1-2],poti1,67.48764867337603,44.29380876569733,96.0,100.0,100.0,8484.303751143641,4194.071842690803,10799.0,80.10391582799633,42.56931012719187,118.85,50.004574565416284,6.98654981927954,57.0
N2_poti_TP_short_r1_780627,"POTI (2 nodes)
Tensor Parallel
Short",TP,poti[1-2],poti2,51.702389572773356,47.09146880257225,93.0,95.0,100.0,6712.792541636495,5083.044445246658,10799.0,62.63530774800869,47.89699164171085,115.6,56.04308472121651,5.843171732212871,63.0
N4_poti_PP_long_r1_780638,"POTI (4 nodes)
Pipeline Parallel
Long",PP,poti[1-4],poti1,17.835872101001783,8.27594783222186,20.0,24.0,24.0,9595.991354466858,2403.2218234944585,10225.0,51.72266501989845,10.569686551244603,55.94,49.15877590229175,3.964523162187382,55.0
N4_poti_PP_long_r1_780638,"POTI (4 nodes)
Pipeline Parallel
Long",PP,poti[1-4],poti2,29.195652173913043,15.211180898388614,33.0,39.0,98.0,7897.622171370455,3035.0153605318246,9083.0,43.69961861174675,14.811969454366295,52.52,51.702135774218156,2.635160181530886,55.0
N4_poti_PP_long_r1_780638,"POTI (4 nodes)
Pipeline Parallel
Long",PP,poti[1-4],poti4,31.0039500509684,15.878203742569053,35.0,41.0,88.0,9347.284403669724,3559.6719132007884,10725.0,53.56208078491335,18.240833010114017,77.9,52.09148827726809,3.6444208617384444,56.0
N4_poti_PP_long_r1_780638,"POTI (4 nodes)
Pipeline Parallel
Long",PP,poti[1-4],poti3,26.504520565389022,14.618109836467404,30.0,38.0,99.0,7912.455112695785,3018.644604414703,9083.0,44.56632497134853,13.096450263065705,52.32,50.19699477906533,4.687268405917982,55.0
N4_poti_PP_short_r1_780634,"POTI (4 nodes)
Pipeline Parallel
Short",PP,poti[1-4],poti1,14.535616438356165,9.509888146170606,19.0,24.0,24.0,7924.697716894977,3927.363606901846,9941.0,44.44032876712329,16.59460772254602,55.06300000000001,47.912328767123284,4.706709494298761,53.0
N4_poti_PP_short_r1_780634,"POTI (4 nodes)
Pipeline Parallel
Short",PP,poti[1-4],poti2,20.19076812116841,17.843920914061073,31.0,39.0,42.0,5599.4778218535885,4268.454319593706,8911.0,32.04086548864046,19.912475622027646,48.57,46.580598629642985,2.651964082397634,50.0
N4_poti_PP_short_r1_780634,"POTI (4 nodes)
Pipeline Parallel
Short",PP,poti[1-4],poti4,23.94260806393026,20.9343253587165,37.0,46.0,47.0,6683.638576098801,5039.924031494442,10553.0,52.10638576098801,32.349018144372074,80.93,50.602978568834,5.7018667758511405,57.0
N4_poti_PP_short_r1_780634,"POTI (4 nodes)
Pipeline Parallel
Short",PP,poti[1-4],poti3,20.478576615831518,17.80949391144753,30.0,39.0,39.0,5638.323892519971,4257.393036490605,8911.0,35.49933188090051,17.11302624073585,49.98,51.28431372549019,2.9646410215790615,55.0
N4_poti_TP_long_r1_780632,"POTI (4 nodes)
Tensor Parallel
Long",TP,poti[1-4],poti1,90.42337633451957,25.674747516306365,97.0,100.0,100.0,10259.449399466192,2480.3208265509247,10931.0,67.35909586298932,17.294485790750585,78.34,51.26501334519573,3.686910977610299,54.0
N4_poti_TP_long_r1_780632,"POTI (4 nodes)
Tensor Parallel
Long",TP,poti[1-4],poti2,84.29904980682886,32.90838705132927,96.0,100.0,100.0,9633.92878772058,3436.1300200313576,10931.0,60.778021301033725,21.88574810494637,75.08,56.28881695729351,3.888927960576392,59.0
N4_poti_TP_long_r1_780632,"POTI (4 nodes)
Tensor Parallel
Long",TP,poti[1-4],poti4,84.42266638760988,32.610322916172784,96.0,100.0,100.0,9653.894516534114,3411.5539175662775,10931.0,64.2018061950607,21.68067995641713,78.63,53.8103809125157,4.032629995373934,57.0
N4_poti_TP_long_r1_780632,"POTI (4 nodes)
Tensor Parallel
Long",TP,poti[1-4],poti3,84.49084440724077,32.64434803213954,96.0,100.0,100.0,9655.220675944334,3409.9340556797883,10931.0,62.342514387360055,20.803912253119687,76.83,52.094276446583656,4.19738573137916,56.0
N4_poti_TP_short_r1_780631,"POTI (4 nodes)
Tensor Parallel
Short",TP,poti[1-4],poti1,73.00601503759398,42.15716713430285,97.0,100.0,100.0,8599.528195488721,4140.659987439842,10875.0,58.90301127819549,23.74100173617902,77.85,49.11766917293233,4.204180012602323,54.0
N4_poti_TP_short_r1_780631,"POTI (4 nodes)
Tensor Parallel
Short",TP,poti[1-4],poti2,58.54935225169648,46.68381042731508,94.0,100.0,100.0,7052.881246144355,4996.892985194489,10875.0,46.43589142504627,29.048142705757485,74.289,53.24706971005552,4.129838785372174,58.0
N4_poti_TP_short_r1_780631,"POTI (4 nodes)
Tensor Parallel
Short",TP,poti[1-4],poti4,59.35707649427067,47.0685232076844,96.0,100.0,100.0,7085.523072158563,4985.81154906889,10875.0,50.36730876432331,28.37375998149256,77.82,49.976153607928154,4.508946216285344,56.0
N4_poti_TP_short_r1_780631,"POTI (4 nodes)
Tensor Parallel
Short",TP,poti[1-4],poti3,58.89385474860335,46.34448343747749,94.0,100.0,100.0,7103.082557417753,4980.297527050432,10875.0,48.89166977032899,26.74838562658059,75.15,46.31346989447548,4.531561518973575,52.0
