Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,512.00,512.00,512.00,15360.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,30.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,30.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),128.50,128.28,128.67,3855.09,128.30,128.34,128.37,128.44,128.50,128.57,128.65,128.66,128.67,0.10
HTTP Data Sent (KB),4.46,4.05,4.81,133.92,4.07,4.17,4.25,4.39,4.46,4.57,4.64,4.67,4.78,0.16
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),9164.16,8985.77,9284.87,274924.76,9001.85,9050.69,9064.33,9115.00,9172.48,9215.54,9252.23,9274.26,9283.38,74.30
HTTP Receiving (ms),9054.13,8876.65,9174.78,271624.00,8892.36,8940.46,8953.22,9004.89,9063.10,9105.99,9142.38,9163.78,9173.21,74.32
HTTP Sending (ms),0.12,0.07,0.16,3.53,0.07,0.08,0.08,0.12,0.12,0.13,0.13,0.14,0.15,0.02
HTTP Total Time (ms),9164.16,8985.77,9284.87,274924.76,9001.85,9050.69,9064.33,9115.00,9172.48,9215.54,9252.23,9274.26,9283.38,74.30
HTTP Waiting (TTFB) (ms),109.91,108.43,111.49,3297.23,108.56,108.92,109.03,109.44,109.86,110.38,110.77,111.00,111.38,0.71
Input Sequence Length (tokens),1024.00,1024.00,1024.00,30720.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Inter Chunk Latency (ms),17.82,11.51,53.85,271623.92,16.68,17.22,17.26,17.38,17.85,17.93,18.01,18.07,20.50,1.57
Inter Token Latency (ms),17.87,17.37,18.55,535.98,17.40,17.50,17.58,17.69,17.83,18.01,18.14,18.19,18.44,0.24
OSL Mismatch Diff % (%),-0.81,-3.91,0.00,-24.41,-3.68,-2.77,-1.99,-1.17,-0.49,0.00,0.00,0.00,0.00,1.00
Output Sequence Length (tokens),507.83,492.00,512.00,15235.00,493.16,497.80,501.80,506.00,509.50,512.00,512.00,512.00,512.00,5.15
Output Token Count (tokens),507.83,492.00,512.00,15235.00,493.16,497.80,501.80,506.00,509.50,512.00,512.00,512.00,512.00,5.15
Output Token Throughput Per User (tokens/sec/user),55.98,53.92,57.57,1679.46,54.22,54.99,55.14,55.52,56.08,56.52,56.88,57.16,57.47,0.75
Prefill Throughput Per User (tokens/sec/user),9302.74,9168.98,9433.83,279082.14,9178.13,9208.93,9228.86,9261.96,9304.96,9341.49,9381.69,9391.29,9422.13,61.80
Request Latency (ms),9164.21,8985.81,9284.92,274926.32,9001.90,9050.75,9064.39,9115.06,9172.52,9215.59,9252.29,9274.31,9283.44,74.30
Time to First Output Token (ms),110.08,108.55,111.68,3302.40,108.68,109.04,109.15,109.62,110.05,110.56,110.96,111.20,111.57,0.73
Time to First Token (ms),110.08,108.55,111.68,3302.40,108.68,109.04,109.15,109.62,110.05,110.56,110.96,111.20,111.57,0.73
Time to Second Token (ms),17.49,16.80,17.92,524.71,16.81,16.93,17.05,17.26,17.56,17.71,17.82,17.86,17.91,0.30

Metric,Value
Benchmark Duration (sec),275.06
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),55.39
Request Count,30.00
Request Throughput (requests/sec),0.11
Total Input Sequence Length (tokens),30720.00
Total Output Sequence Length (tokens),15235.00
Total Output Tokens (tokens),15235.00
Total Token Throughput (tokens/sec),167.08


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
