timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/05/04 23:34:48.660, 0, 0, 0, 1, 24564, 25.93, 47, 210, 405
2026/05/04 23:34:48.763, 0, 0, 0, 1, 24564, 25.93, 47, 210, 405
2026/05/04 23:34:48.864, 0, 0, 0, 1, 24564, 25.93, 47, 210, 405
2026/05/04 23:34:48.964, 0, 0, 0, 1, 24564, 25.93, 47, 210, 405
2026/05/04 23:34:49.064, 0, 0, 0, 1, 24564, 25.93, 47, 210, 405
2026/05/04 23:34:49.164, 0, 0, 0, 1, 24564, 25.93, 47, 210, 405
2026/05/04 23:34:49.266, 0, 0, 0, 1, 24564, 25.76, 47, 210, 405
2026/05/04 23:34:49.366, 0, 0, 0, 1, 24564, 25.76, 47, 210, 405
2026/05/04 23:34:49.467, 0, 0, 0, 1, 24564, 25.76, 47, 210, 405
2026/05/04 23:34:49.567, 0, 0, 0, 1, 24564, 25.76, 47, 210, 405
2026/05/04 23:34:49.667, 0, 0, 0, 1, 24564, 25.76, 47, 210, 405
2026/05/04 23:34:49.767, 0, 0, 0, 1, 24564, 25.76, 47, 210, 405
2026/05/04 23:34:49.868, 0, 0, 0, 1, 24564, 25.76, 47, 210, 405
2026/05/04 23:34:49.968, 0, 0, 0, 1, 24564, 25.76, 47, 210, 405
2026/05/04 23:34:50.068, 0, 0, 0, 1, 24564, 25.76, 47, 210, 405
2026/05/04 23:34:50.168, 0, 0, 0, 1, 24564, 25.76, 47, 210, 405
2026/05/04 23:34:50.269, 0, 0, 0, 1, 24564, 25.69, 47, 210, 405
2026/05/04 23:34:50.369, 0, 0, 0, 1, 24564, 25.69, 47, 210, 405
2026/05/04 23:34:50.470, 0, 0, 0, 1, 24564, 25.69, 47, 210, 405
2026/05/04 23:34:50.570, 0, 0, 0, 1, 24564, 25.69, 47, 210, 405
2026/05/04 23:34:50.671, 0, 0, 0, 1, 24564, 25.69, 47, 210, 405
2026/05/04 23:34:50.771, 0, 0, 0, 1, 24564, 25.69, 47, 210, 405
2026/05/04 23:34:50.871, 0, 0, 0, 1, 24564, 25.69, 47, 210, 405
2026/05/04 23:34:50.971, 0, 0, 0, 1, 24564, 25.69, 47, 210, 405
2026/05/04 23:34:51.072, 0, 0, 0, 1, 24564, 25.69, 47, 210, 405
2026/05/04 23:34:51.172, 0, 0, 0, 1, 24564, 25.69, 47, 210, 405
2026/05/04 23:34:51.272, 0, 0, 0, 1, 24564, 26.03, 47, 210, 405
2026/05/04 23:34:51.372, 0, 0, 0, 1, 24564, 26.03, 47, 210, 405
2026/05/04 23:34:51.472, 0, 0, 0, 1, 24564, 26.03, 47, 210, 405
2026/05/04 23:34:51.573, 0, 0, 0, 1, 24564, 26.03, 47, 210, 405
2026/05/04 23:34:51.673, 0, 0, 0, 1, 24564, 26.03, 47, 210, 405
2026/05/04 23:34:51.773, 0, 0, 0, 1, 24564, 26.03, 47, 210, 405
2026/05/04 23:34:51.873, 0, 0, 0, 1, 24564, 26.03, 47, 210, 405
2026/05/04 23:34:51.974, 0, 0, 0, 1, 24564, 26.03, 47, 210, 405
2026/05/04 23:34:52.074, 0, 0, 0, 1, 24564, 26.03, 47, 210, 405
2026/05/04 23:34:52.174, 0, 0, 0, 1, 24564, 26.03, 47, 210, 405
2026/05/04 23:34:52.274, 0, 0, 0, 1, 24564, 26.36, 47, 210, 405
2026/05/04 23:34:52.374, 0, 0, 0, 1, 24564, 26.36, 47, 210, 405
2026/05/04 23:34:52.475, 0, 0, 0, 1, 24564, 26.36, 47, 210, 405
2026/05/04 23:34:52.575, 0, 0, 0, 1, 24564, 26.36, 47, 210, 405
2026/05/04 23:34:52.675, 0, 0, 0, 1, 24564, 26.36, 47, 210, 405
2026/05/04 23:34:52.775, 0, 0, 0, 1, 24564, 26.36, 47, 210, 405
2026/05/04 23:34:52.875, 0, 0, 0, 1, 24564, 26.36, 47, 210, 405
2026/05/04 23:34:52.976, 0, 0, 0, 1, 24564, 26.36, 47, 210, 405
2026/05/04 23:34:53.076, 0, 0, 0, 1, 24564, 26.36, 47, 210, 405
2026/05/04 23:34:53.176, 0, 0, 0, 1, 24564, 26.36, 47, 210, 405
2026/05/04 23:34:53.276, 0, 0, 0, 1, 24564, 26.24, 47, 210, 405
2026/05/04 23:34:53.377, 0, 0, 0, 1, 24564, 26.24, 47, 210, 405
2026/05/04 23:34:53.477, 0, 0, 0, 1, 24564, 26.24, 47, 210, 405
2026/05/04 23:34:53.577, 0, 0, 0, 1, 24564, 26.24, 47, 210, 405
