Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,128.00,128.00,128.00,3840.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,30.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,30.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),32.38,32.32,32.45,971.48,32.32,32.33,32.34,32.36,32.38,32.41,32.43,32.43,32.45,0.03
HTTP Data Sent (KB),0.69,0.65,0.75,20.81,0.65,0.65,0.65,0.67,0.69,0.71,0.74,0.74,0.75,0.03
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),2276.18,2237.20,2288.88,68285.33,2237.26,2242.40,2257.97,2275.02,2282.63,2283.65,2284.57,2285.32,2287.90,13.80
HTTP Receiving (ms),2246.65,2207.44,2259.41,67399.37,2207.57,2212.78,2228.69,2245.56,2252.70,2254.23,2255.68,2255.71,2258.34,13.80
HTTP Sending (ms),0.12,0.08,0.17,3.64,0.08,0.10,0.12,0.12,0.12,0.13,0.13,0.14,0.16,0.01
HTTP Total Time (ms),2276.18,2237.20,2288.88,68285.33,2237.26,2242.40,2257.97,2275.02,2282.63,2283.65,2284.57,2285.32,2287.90,13.80
HTTP Waiting (TTFB) (ms),29.41,28.35,33.01,882.31,28.41,28.70,28.92,29.08,29.33,29.57,29.67,29.88,32.14,0.75
Input Sequence Length (tokens),128.00,128.00,128.00,3840.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Inter Chunk Latency (ms),17.69,13.43,22.16,67399.34,16.64,17.17,17.27,17.68,17.74,17.78,17.84,17.91,18.53,0.44
Inter Token Latency (ms),17.69,17.38,17.79,530.70,17.38,17.42,17.55,17.68,17.74,17.75,17.76,17.76,17.78,0.11
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),128.00,128.00,128.00,3840.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Count (tokens),128.00,128.00,128.00,3840.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Throughput Per User (tokens/sec/user),56.53,56.21,57.53,1695.93,56.24,56.30,56.30,56.34,56.38,56.56,56.98,57.39,57.53,0.35
Prefill Throughput Per User (tokens/sec/user),4328.67,3857.08,4487.35,129860.06,3968.18,4259.35,4288.64,4300.42,4338.12,4374.83,4400.52,4441.82,4480.25,102.21
Request Latency (ms),2276.23,2237.26,2288.94,68286.98,2237.33,2242.46,2258.03,2275.07,2282.69,2283.70,2284.62,2285.38,2287.96,13.80
Time to First Output Token (ms),29.59,28.52,33.19,887.64,28.57,28.82,29.09,29.26,29.51,29.76,29.85,30.05,32.32,0.76
Time to First Token (ms),29.59,28.52,33.19,887.64,28.57,28.82,29.09,29.26,29.51,29.76,29.85,30.05,32.32,0.76
Time to Second Token (ms),17.43,13.97,17.84,522.76,14.80,16.87,17.04,17.55,17.59,17.63,17.68,17.71,17.80,0.68

Metric,Value
Benchmark Duration (sec),68.35
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),56.19
Request Count,30.00
Request Throughput (requests/sec),0.44
Total Input Sequence Length (tokens),3840.00
Total Output Sequence Length (tokens),3840.00
Total Output Tokens (tokens),3840.00
Total Token Throughput (tokens/sec),112.37


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
