timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/05/04 22:53:11.776, 0, 0, 0, 1, 12282, 10.65, 38, 210, 405
2026/05/04 22:53:11.879, 0, 0, 0, 1, 12282, 10.65, 38, 210, 405
2026/05/04 22:53:11.979, 0, 0, 0, 1, 12282, 10.65, 38, 210, 405
2026/05/04 22:53:12.080, 0, 0, 0, 1, 12282, 10.65, 38, 210, 405
2026/05/04 22:53:12.180, 0, 0, 0, 1, 12282, 10.65, 38, 210, 405
2026/05/04 22:53:12.280, 0, 0, 0, 1, 12282, 10.65, 38, 210, 405
2026/05/04 22:53:12.383, 0, 0, 0, 1, 12282, 10.54, 38, 210, 405
2026/05/04 22:53:12.483, 0, 0, 0, 1, 12282, 10.54, 38, 210, 405
2026/05/04 22:53:12.583, 0, 0, 0, 1, 12282, 10.54, 38, 210, 405
2026/05/04 22:53:12.683, 0, 0, 0, 1, 12282, 10.54, 38, 210, 405
2026/05/04 22:53:12.784, 0, 0, 0, 1, 12282, 10.54, 38, 210, 405
2026/05/04 22:53:12.884, 0, 0, 0, 1, 12282, 10.54, 38, 210, 405
2026/05/04 22:53:12.984, 0, 0, 0, 1, 12282, 10.54, 38, 210, 405
2026/05/04 22:53:13.084, 0, 0, 0, 1, 12282, 10.54, 38, 210, 405
2026/05/04 22:53:13.184, 0, 0, 0, 1, 12282, 10.54, 38, 210, 405
2026/05/04 22:53:13.284, 0, 0, 0, 1, 12282, 10.54, 38, 210, 405
2026/05/04 22:53:13.385, 0, 0, 0, 1, 12282, 10.42, 38, 210, 405
2026/05/04 22:53:13.485, 0, 0, 0, 1, 12282, 10.42, 38, 210, 405
2026/05/04 22:53:13.585, 0, 0, 0, 1, 12282, 10.42, 38, 210, 405
2026/05/04 22:53:13.685, 0, 0, 0, 1, 12282, 10.42, 38, 210, 405
2026/05/04 22:53:13.785, 0, 0, 0, 1, 12282, 10.42, 38, 210, 405
2026/05/04 22:53:13.885, 0, 0, 0, 1, 12282, 10.42, 38, 210, 405
2026/05/04 22:53:13.986, 0, 0, 0, 1, 12282, 10.42, 38, 210, 405
2026/05/04 22:53:14.086, 0, 0, 0, 1, 12282, 10.42, 38, 210, 405
2026/05/04 22:53:14.186, 0, 0, 0, 1, 12282, 10.42, 38, 210, 405
2026/05/04 22:53:14.286, 0, 0, 0, 1, 12282, 10.42, 38, 210, 405
2026/05/04 22:53:14.386, 0, 0, 0, 1, 12282, 10.58, 38, 210, 405
2026/05/04 22:53:14.487, 0, 0, 0, 1, 12282, 10.58, 38, 210, 405
2026/05/04 22:53:14.587, 0, 0, 0, 1, 12282, 10.58, 38, 210, 405
2026/05/04 22:53:14.687, 0, 0, 0, 1, 12282, 10.58, 38, 210, 405
2026/05/04 22:53:14.787, 0, 0, 0, 1, 12282, 10.58, 38, 210, 405
2026/05/04 22:53:14.939, 0, 0, 0, 1, 12282, 10.58, 38, 210, 405
2026/05/04 22:53:15.040, 0, 0, 0, 1, 12282, 10.58, 38, 210, 405
2026/05/04 22:53:15.140, 0, 0, 0, 1, 12282, 10.58, 38, 210, 405
2026/05/04 22:53:15.240, 0, 0, 0, 1, 12282, 10.58, 38, 210, 405
2026/05/04 22:53:15.340, 0, 0, 0, 1, 12282, 10.58, 38, 210, 405
2026/05/04 22:53:15.440, 0, 0, 0, 1, 12282, 10.66, 38, 210, 405
2026/05/04 22:53:15.541, 0, 0, 0, 1, 12282, 10.66, 38, 210, 405
2026/05/04 22:53:15.641, 0, 0, 0, 1, 12282, 10.66, 38, 210, 405
2026/05/04 22:53:15.741, 0, 0, 0, 1, 12282, 10.66, 38, 210, 405
