Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,128.00,128.00,128.00,3840.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,30.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,30.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),32.36,32.28,32.44,970.87,32.28,32.29,32.31,32.34,32.36,32.38,32.42,32.43,32.44,0.04
HTTP Data Sent (KB),0.67,0.60,0.77,20.22,0.60,0.61,0.63,0.65,0.67,0.69,0.72,0.73,0.76,0.04
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),4300.51,4290.19,4356.18,129015.25,4290.51,4291.59,4292.06,4293.19,4295.81,4305.31,4311.04,4312.95,4343.65,12.31
HTTP Receiving (ms),3753.70,3743.17,3768.32,112611.07,3743.97,3746.37,3747.40,3748.38,3750.91,3757.33,3763.85,3767.22,3768.21,6.83
HTTP Sending (ms),0.09,0.08,0.14,2.74,0.08,0.08,0.08,0.08,0.08,0.09,0.13,0.13,0.14,0.02
HTTP Total Time (ms),4300.51,4290.19,4356.18,129015.25,4290.51,4291.59,4292.06,4293.19,4295.81,4305.31,4311.04,4312.95,4343.65,12.31
HTTP Waiting (TTFB) (ms),546.71,544.17,601.79,16401.43,544.20,544.31,544.42,544.50,544.77,544.91,544.97,546.74,586.20,10.25
Input Sequence Length (tokens),128.00,128.00,128.00,3840.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Inter Chunk Latency (ms),29.56,25.42,33.85,112610.86,29.25,29.36,29.40,29.46,29.54,29.63,29.75,29.83,30.10,0.28
Inter Token Latency (ms),29.56,29.47,29.67,886.70,29.48,29.50,29.51,29.51,29.53,29.59,29.64,29.66,29.67,0.05
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),128.00,128.00,128.00,3840.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Count (tokens),128.00,128.00,128.00,3840.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Throughput Per User (tokens/sec/user),33.83,33.70,33.93,1015.00,33.70,33.71,33.74,33.80,33.86,33.88,33.89,33.90,33.92,0.06
Prefill Throughput Per User (tokens/sec/user),234.14,212.63,235.17,7024.24,218.69,234.06,234.80,234.84,234.91,235.02,235.06,235.10,235.15,4.00
Request Latency (ms),4300.55,4290.23,4356.23,129016.48,4290.55,4291.63,4292.09,4293.22,4295.85,4305.35,4311.08,4312.99,4343.70,12.32
Time to First Output Token (ms),546.85,544.30,601.98,16405.62,544.32,544.44,544.55,544.62,544.90,545.06,545.14,546.87,586.37,10.26
Time to First Token (ms),546.85,544.30,601.98,16405.62,544.32,544.44,544.55,544.62,544.90,545.06,545.14,546.87,586.37,10.26
Time to Second Token (ms),29.42,26.73,30.17,882.56,27.45,29.23,29.29,29.37,29.44,29.58,29.74,29.90,30.11,0.54

Metric,Value
Benchmark Duration (sec),129.06
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),29.75
Request Count,30.00
Request Throughput (requests/sec),0.23
Total Input Sequence Length (tokens),3840.00
Total Output Sequence Length (tokens),3840.00
Total Output Tokens (tokens),3840.00
Total Token Throughput (tokens/sec),59.51


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
