Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,512.00,512.00,512.00,15360.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,30.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,30.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),128.56,128.30,128.77,3856.92,128.30,128.34,128.39,128.50,128.57,128.65,128.71,128.74,128.77,0.12
HTTP Data Sent (KB),4.50,4.23,4.83,134.96,4.26,4.34,4.35,4.40,4.50,4.58,4.64,4.73,4.82,0.13
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),20274.86,19924.43,20535.35,608245.72,19927.81,19937.70,19948.21,20002.79,20403.89,20427.06,20436.99,20463.77,20516.63,214.56
HTTP Receiving (ms),19610.34,19261.82,19870.67,588310.35,19264.77,19273.88,19284.02,19338.27,19737.34,19762.52,19772.93,19798.94,19852.20,213.94
HTTP Sending (ms),0.11,0.07,0.15,3.16,0.08,0.08,0.08,0.08,0.12,0.13,0.13,0.13,0.14,0.02
HTTP Total Time (ms),20274.86,19924.43,20535.35,608245.72,19927.81,19937.70,19948.21,20002.79,20403.89,20427.06,20436.99,20463.77,20516.63,214.56
HTTP Waiting (TTFB) (ms),664.41,660.96,667.47,19932.22,660.98,661.19,661.65,663.33,664.67,665.58,666.78,666.95,667.35,1.81
Input Sequence Length (tokens),1024.00,1024.00,1024.00,30720.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Inter Chunk Latency (ms),38.75,34.06,154.91,588271.96,37.31,37.52,37.63,37.85,38.51,38.69,38.85,39.06,41.54,4.67
Inter Token Latency (ms),38.86,37.69,42.23,1165.92,37.71,37.86,38.11,38.28,38.86,39.13,39.29,39.93,41.62,0.83
OSL Mismatch Diff % (%),-1.23,-8.20,0.00,-36.91,-6.90,-3.18,-2.54,-1.37,-1.17,-0.15,0.00,0.00,0.00,1.56
Output Sequence Length (tokens),505.70,470.00,512.00,15171.00,476.67,495.70,499.00,505.00,506.00,511.25,512.00,512.00,512.00,7.97
Output Token Count (tokens),505.70,470.00,512.00,15171.00,476.67,495.70,499.00,505.00,506.00,511.25,512.00,512.00,512.00,7.97
Output Token Throughput Per User (tokens/sec/user),25.74,23.68,26.53,772.25,24.04,25.04,25.45,25.56,25.73,26.12,26.24,26.41,26.52,0.52
Prefill Throughput Per User (tokens/sec/user),1540.86,1533.72,1548.97,46225.91,1533.99,1534.97,1535.33,1538.10,1540.32,1543.42,1547.34,1548.27,1548.86,4.19
Request Latency (ms),20273.63,19924.49,20535.39,608208.98,19927.87,19937.75,19948.27,19974.77,20403.93,20427.11,20437.02,20463.83,20516.68,216.28
Time to First Output Token (ms),664.57,661.08,667.66,19937.02,661.13,661.38,661.78,663.46,664.80,665.76,666.96,667.12,667.54,1.81
Time to First Token (ms),664.57,661.08,667.66,19937.02,661.13,661.38,661.78,663.46,664.80,665.76,666.96,667.12,667.54,1.81
Time to Second Token (ms),38.11,37.26,39.12,1143.28,37.28,37.36,37.45,37.68,38.14,38.46,38.76,38.90,39.09,0.50

Metric,Value
Benchmark Duration (sec),608.37
OSL Mismatch Count,1.00
Output Token Throughput (tokens/sec),24.94
Request Count,30.00
Request Throughput (requests/sec),0.05
Total Input Sequence Length (tokens),30720.00
Total Output Sequence Length (tokens),15171.00
Total Output Tokens (tokens),15171.00
Total Token Throughput (tokens/sec),75.43


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
