timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/05/04 23:51:34.424, 0, 0, 0, 1, 12282, 10.51, 40, 210, 405
2026/05/04 23:51:34.527, 0, 0, 0, 1, 12282, 10.51, 40, 210, 405
2026/05/04 23:51:34.627, 0, 0, 0, 1, 12282, 10.51, 40, 210, 405
2026/05/04 23:51:34.727, 0, 0, 0, 1, 12282, 10.51, 40, 210, 405
2026/05/04 23:51:34.827, 0, 0, 0, 1, 12282, 10.51, 40, 210, 405
2026/05/04 23:51:34.927, 0, 0, 0, 1, 12282, 10.51, 40, 210, 405
2026/05/04 23:51:35.027, 0, 0, 0, 1, 12282, 10.51, 40, 210, 405
2026/05/04 23:51:35.128, 0, 0, 0, 1, 12282, 10.51, 40, 210, 405
2026/05/04 23:51:35.228, 0, 0, 0, 1, 12282, 10.51, 40, 210, 405
2026/05/04 23:51:35.328, 0, 0, 0, 1, 12282, 10.51, 40, 210, 405
2026/05/04 23:51:35.428, 0, 0, 0, 1, 12282, 10.51, 40, 210, 405
2026/05/04 23:51:35.528, 0, 0, 0, 1, 12282, 10.39, 40, 210, 405
2026/05/04 23:51:35.628, 0, 0, 0, 1, 12282, 10.39, 40, 210, 405
2026/05/04 23:51:35.728, 0, 0, 0, 1, 12282, 10.39, 40, 210, 405
2026/05/04 23:51:35.828, 0, 0, 0, 1, 12282, 10.39, 40, 210, 405
2026/05/04 23:51:35.929, 0, 0, 0, 1, 12282, 10.39, 40, 210, 405
2026/05/04 23:51:36.029, 0, 0, 0, 1, 12282, 10.39, 40, 210, 405
2026/05/04 23:51:36.129, 0, 0, 0, 1, 12282, 10.39, 40, 210, 405
2026/05/04 23:51:36.229, 0, 0, 0, 1, 12282, 10.39, 40, 210, 405
2026/05/04 23:51:36.329, 0, 0, 0, 1, 12282, 10.39, 40, 210, 405
2026/05/04 23:51:36.429, 0, 0, 0, 1, 12282, 10.39, 40, 210, 405
2026/05/04 23:51:36.530, 0, 0, 0, 1, 12282, 10.55, 40, 210, 405
2026/05/04 23:51:36.630, 0, 0, 0, 1, 12282, 10.55, 40, 210, 405
2026/05/04 23:51:36.730, 0, 0, 0, 1, 12282, 10.55, 40, 210, 405
2026/05/04 23:51:36.830, 0, 0, 0, 1, 12282, 10.55, 40, 210, 405
2026/05/04 23:51:36.930, 0, 0, 0, 1, 12282, 10.55, 40, 210, 405
2026/05/04 23:51:37.030, 0, 0, 0, 1, 12282, 10.55, 40, 210, 405
2026/05/04 23:51:37.131, 0, 0, 0, 1, 12282, 10.55, 40, 210, 405
2026/05/04 23:51:37.231, 0, 0, 0, 1, 12282, 10.55, 40, 210, 405
2026/05/04 23:51:37.331, 0, 0, 0, 1, 12282, 10.55, 40, 210, 405
2026/05/04 23:51:37.431, 0, 0, 0, 1, 12282, 10.55, 40, 210, 405
2026/05/04 23:51:37.587, 0, 0, 0, 1, 12282, 10.52, 40, 210, 405
2026/05/04 23:51:37.687, 0, 0, 0, 1, 12282, 10.52, 40, 210, 405
2026/05/04 23:51:37.787, 0, 0, 0, 1, 12282, 10.52, 40, 210, 405
2026/05/04 23:51:37.888, 0, 0, 0, 1, 12282, 10.52, 40, 210, 405
2026/05/04 23:51:37.988, 0, 0, 0, 1, 12282, 10.52, 40, 210, 405
2026/05/04 23:51:38.088, 0, 0, 0, 1, 12282, 10.52, 40, 210, 405
2026/05/04 23:51:38.188, 0, 0, 0, 1, 12282, 10.52, 40, 210, 405
2026/05/04 23:51:38.288, 0, 0, 0, 1, 12282, 10.52, 40, 210, 405
2026/05/04 23:51:38.388, 0, 0, 0, 1, 12282, 10.52, 40, 210, 405
2026/05/04 23:51:38.491, 0, 0, 0, 1, 12282, 10.52, 40, 210, 405
2026/05/04 23:51:38.592, 0, 0, 0, 1, 12282, 10.52, 40, 210, 405
2026/05/04 23:51:38.692, 0, 0, 0, 1, 12282, 10.52, 40, 210, 405
2026/05/04 23:51:38.792, 0, 0, 0, 1, 12282, 10.52, 40, 210, 405
2026/05/04 23:51:38.892, 0, 0, 0, 1, 12282, 10.52, 40, 210, 405
2026/05/04 23:51:38.992, 0, 0, 0, 1, 12282, 10.52, 40, 210, 405
2026/05/04 23:51:39.092, 0, 0, 0, 1, 12282, 10.52, 40, 210, 405
2026/05/04 23:51:39.192, 0, 0, 0, 1, 12282, 10.52, 40, 210, 405
2026/05/04 23:51:39.292, 0, 0, 0, 1, 12282, 10.52, 40, 210, 405
2026/05/04 23:51:39.393, 0, 0, 0, 1, 12282, 10.52, 40, 210, 405
2026/05/04 23:51:39.493, 0, 0, 0, 1, 12282, 10.52, 40, 210, 405
2026/05/04 23:51:39.593, 0, 0, 0, 1, 12282, 10.55, 40, 210, 405
2026/05/04 23:51:39.693, 0, 0, 0, 1, 12282, 10.55, 40, 210, 405
2026/05/04 23:51:39.793, 0, 0, 0, 1, 12282, 10.55, 40, 210, 405
2026/05/04 23:51:39.893, 0, 0, 0, 1, 12282, 10.55, 40, 210, 405
2026/05/04 23:51:39.993, 0, 0, 0, 1, 12282, 10.55, 40, 210, 405
2026/05/04 23:51:40.093, 0, 0, 0, 1, 12282, 10.55, 40, 210, 405
2026/05/04 23:51:40.193, 0, 0, 0, 1, 12282, 10.55, 40, 210, 405
2026/05/04 23:51:40.294, 0, 0, 0, 1, 12282, 10.55, 40, 210, 405
2026/05/04 23:51:40.394, 0, 0, 0, 1, 12282, 10.55, 40, 210, 405
2026/05/04 23:51:40.494, 0, 0, 0, 1, 12282, 10.55, 40, 210, 405
2026/05/04 23:51:40.594, 0, 0, 0, 1, 12282, 10.48, 40, 210, 405
2026/05/04 23:51:40.694, 0, 0, 0, 1, 12282, 10.48, 40, 210, 405
