Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,128.00,128.00,128.00,3840.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,30.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,30.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),32.37,32.30,32.45,971.00,32.31,32.32,32.32,32.33,32.36,32.40,32.42,32.43,32.44,0.04
HTTP Data Sent (KB),0.67,0.63,0.74,20.18,0.63,0.63,0.64,0.65,0.66,0.69,0.72,0.73,0.74,0.03
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),4764.42,4746.81,4827.51,142932.74,4746.86,4748.57,4751.35,4754.55,4760.77,4765.21,4791.89,4797.33,4819.66,17.24
HTTP Receiving (ms),4644.48,4628.54,4709.47,139334.44,4628.57,4630.45,4633.46,4635.22,4640.05,4644.86,4664.03,4678.91,4701.51,16.81
HTTP Sending (ms),0.12,0.08,0.22,3.56,0.08,0.08,0.08,0.12,0.12,0.13,0.13,0.13,0.20,0.03
HTTP Total Time (ms),4764.42,4746.81,4827.51,142932.74,4746.86,4748.57,4751.35,4754.55,4760.77,4765.21,4791.89,4797.33,4819.66,17.24
HTTP Waiting (TTFB) (ms),119.82,117.17,129.37,3594.75,117.32,117.72,117.75,117.96,118.34,118.59,128.05,128.98,129.30,3.74
Input Sequence Length (tokens),128.00,128.00,128.00,3840.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Inter Chunk Latency (ms),36.57,31.90,80.69,139334.33,36.23,36.33,36.37,36.42,36.49,36.58,36.74,37.03,37.48,1.16
Inter Token Latency (ms),36.58,36.45,37.08,1097.41,36.45,36.46,36.48,36.50,36.55,36.58,36.80,36.84,37.02,0.14
OSL Mismatch Diff % (%),-0.03,-0.78,0.00,-0.78,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14
Output Sequence Length (tokens),127.97,127.00,128.00,3839.00,127.29,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.18
Output Token Count (tokens),127.97,127.00,128.00,3839.00,127.29,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.18
Output Token Throughput Per User (tokens/sec/user),27.34,26.97,27.44,820.12,27.01,27.14,27.17,27.34,27.36,27.40,27.41,27.43,27.44,0.10
Prefill Throughput Per User (tokens/sec/user),1067.66,987.92,1090.74,32029.90,988.48,991.05,998.61,1078.10,1080.09,1083.34,1085.28,1085.69,1089.34,31.46
Request Latency (ms),4764.48,4746.86,4827.57,142934.28,4746.92,4748.63,4751.41,4754.59,4760.81,4765.25,4791.95,4797.39,4819.71,17.24
Time to First Output Token (ms),120.00,117.35,129.57,3599.95,117.50,117.90,117.94,118.15,118.51,118.73,128.18,129.16,129.49,3.74
Time to First Token (ms),120.00,117.35,129.57,3599.95,117.50,117.90,117.94,118.15,118.51,118.73,128.18,129.16,129.49,3.74
Time to Second Token (ms),36.50,36.21,36.97,1094.99,36.22,36.26,36.30,36.34,36.48,36.58,36.81,36.91,36.96,0.20

Metric,Value
Benchmark Duration (sec),142.99
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),26.85
Request Count,30.00
Request Throughput (requests/sec),0.21
Total Input Sequence Length (tokens),3840.00
Total Output Sequence Length (tokens),3839.00
Total Output Tokens (tokens),3839.00
Total Token Throughput (tokens/sec),53.70


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
