timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/05/04 23:29:54.171, 0, 0, 0, 1, 12282, 10.39, 40, 210, 405
2026/05/04 23:29:54.274, 0, 0, 0, 1, 12282, 10.39, 40, 210, 405
2026/05/04 23:29:54.375, 0, 0, 0, 1, 12282, 10.39, 40, 210, 405
2026/05/04 23:29:54.475, 0, 0, 0, 1, 12282, 10.39, 40, 210, 405
2026/05/04 23:29:54.575, 0, 0, 0, 1, 12282, 10.39, 40, 210, 405
2026/05/04 23:29:54.675, 0, 0, 0, 1, 12282, 10.39, 40, 210, 405
2026/05/04 23:29:54.775, 0, 0, 0, 1, 12282, 10.19, 40, 210, 405
2026/05/04 23:29:54.876, 0, 0, 0, 1, 12282, 10.19, 40, 210, 405
2026/05/04 23:29:54.976, 0, 0, 0, 1, 12282, 10.19, 40, 210, 405
2026/05/04 23:29:55.076, 0, 0, 0, 1, 12282, 10.19, 40, 210, 405
2026/05/04 23:29:55.176, 0, 0, 0, 1, 12282, 10.19, 40, 210, 405
2026/05/04 23:29:55.276, 0, 0, 0, 1, 12282, 10.19, 40, 210, 405
2026/05/04 23:29:55.376, 0, 0, 0, 1, 12282, 10.19, 40, 210, 405
2026/05/04 23:29:55.477, 0, 0, 0, 1, 12282, 10.19, 40, 210, 405
2026/05/04 23:29:55.577, 0, 0, 0, 1, 12282, 10.19, 40, 210, 405
2026/05/04 23:29:55.677, 0, 0, 0, 1, 12282, 10.19, 40, 210, 405
2026/05/04 23:29:55.777, 0, 0, 0, 1, 12282, 10.04, 40, 210, 405
2026/05/04 23:29:55.877, 0, 0, 0, 1, 12282, 10.04, 40, 210, 405
2026/05/04 23:29:55.978, 0, 0, 0, 1, 12282, 10.04, 40, 210, 405
2026/05/04 23:29:56.078, 0, 0, 0, 1, 12282, 10.04, 40, 210, 405
2026/05/04 23:29:56.178, 0, 0, 0, 1, 12282, 10.04, 40, 210, 405
2026/05/04 23:29:56.278, 0, 0, 0, 1, 12282, 10.04, 40, 210, 405
2026/05/04 23:29:56.378, 0, 0, 0, 1, 12282, 10.04, 40, 210, 405
2026/05/04 23:29:56.478, 0, 0, 0, 1, 12282, 10.04, 40, 210, 405
2026/05/04 23:29:56.579, 0, 0, 0, 1, 12282, 10.04, 40, 210, 405
2026/05/04 23:29:56.679, 0, 0, 0, 1, 12282, 10.04, 40, 210, 405
2026/05/04 23:29:56.779, 0, 0, 0, 1, 12282, 10.05, 40, 210, 405
2026/05/04 23:29:56.879, 0, 0, 0, 1, 12282, 10.05, 40, 210, 405
2026/05/04 23:29:56.979, 0, 0, 0, 1, 12282, 10.05, 40, 210, 405
2026/05/04 23:29:57.079, 0, 0, 0, 1, 12282, 10.05, 40, 210, 405
2026/05/04 23:29:57.179, 0, 0, 0, 1, 12282, 10.05, 40, 210, 405
2026/05/04 23:29:57.334, 0, 0, 0, 1, 12282, 10.05, 40, 210, 405
2026/05/04 23:29:57.435, 0, 0, 0, 1, 12282, 10.05, 40, 210, 405
2026/05/04 23:29:57.535, 0, 0, 0, 1, 12282, 10.05, 40, 210, 405
2026/05/04 23:29:57.635, 0, 0, 0, 1, 12282, 10.05, 40, 210, 405
2026/05/04 23:29:57.735, 0, 0, 0, 1, 12282, 10.05, 40, 210, 405
2026/05/04 23:29:57.836, 0, 0, 0, 1, 12282, 10.08, 40, 210, 405
2026/05/04 23:29:57.936, 0, 0, 0, 1, 12282, 10.08, 40, 210, 405
2026/05/04 23:29:58.036, 0, 0, 0, 1, 12282, 10.08, 40, 210, 405
2026/05/04 23:29:58.136, 0, 0, 0, 1, 12282, 10.08, 40, 210, 405
2026/05/04 23:29:58.300, 0, 0, 0, 1, 12282, 10.08, 40, 210, 405
2026/05/04 23:29:58.400, 0, 0, 0, 1, 12282, 10.08, 40, 210, 405
2026/05/04 23:29:58.500, 0, 0, 0, 1, 12282, 10.08, 40, 210, 405
2026/05/04 23:29:58.600, 0, 0, 0, 1, 12282, 10.08, 40, 210, 405
2026/05/04 23:29:58.701, 0, 0, 0, 1, 12282, 10.08, 40, 210, 405
2026/05/04 23:29:58.801, 0, 0, 0, 1, 12282, 10.29, 40, 210, 405
2026/05/04 23:29:58.901, 0, 0, 0, 1, 12282, 10.29, 40, 210, 405
2026/05/04 23:29:59.001, 0, 0, 0, 1, 12282, 10.29, 40, 210, 405
2026/05/04 23:29:59.101, 0, 0, 0, 1, 12282, 10.29, 40, 210, 405
2026/05/04 23:29:59.201, 0, 0, 0, 1, 12282, 10.29, 40, 210, 405
2026/05/04 23:29:59.302, 0, 0, 0, 1, 12282, 10.29, 40, 210, 405
2026/05/04 23:29:59.402, 0, 0, 0, 1, 12282, 10.29, 40, 210, 405
2026/05/04 23:29:59.502, 0, 0, 0, 1, 12282, 10.29, 40, 210, 405
2026/05/04 23:29:59.602, 0, 0, 0, 1, 12282, 10.29, 40, 210, 405
2026/05/04 23:29:59.702, 0, 0, 0, 1, 12282, 10.29, 40, 210, 405
2026/05/04 23:29:59.803, 0, 0, 0, 1, 12282, 10.28, 40, 210, 405
2026/05/04 23:29:59.904, 0, 0, 0, 1, 12282, 10.28, 40, 210, 405
2026/05/04 23:30:00.005, 0, 0, 0, 1, 12282, 10.28, 40, 210, 405
2026/05/04 23:30:00.105, 0, 0, 0, 1, 12282, 10.28, 40, 210, 405
2026/05/04 23:30:00.205, 0, 0, 0, 1, 12282, 10.28, 40, 210, 405
2026/05/04 23:30:00.305, 0, 0, 0, 1, 12282, 10.28, 40, 210, 405
2026/05/04 23:30:00.406, 0, 0, 0, 1, 12282, 10.28, 40, 210, 405
2026/05/04 23:30:00.506, 0, 0, 0, 1, 12282, 10.28, 40, 210, 405
2026/05/04 23:30:00.606, 0, 0, 0, 1, 12282, 10.28, 40, 210, 405
2026/05/04 23:30:00.706, 0, 0, 0, 1, 12282, 10.28, 40, 210, 405
2026/05/04 23:30:00.806, 0, 0, 0, 1, 12282, 10.20, 40, 210, 405
2026/05/04 23:30:00.906, 0, 0, 0, 1, 12282, 10.20, 40, 210, 405
2026/05/04 23:30:01.006, 0, 0, 0, 1, 12282, 10.20, 40, 210, 405
2026/05/04 23:30:01.106, 0, 0, 0, 1, 12282, 10.20, 40, 210, 405
2026/05/04 23:30:01.207, 0, 0, 0, 1, 12282, 10.20, 40, 210, 405
2026/05/04 23:30:01.307, 0, 0, 0, 1, 12282, 10.20, 40, 210, 405
2026/05/04 23:30:01.407, 0, 0, 0, 1, 12282, 10.20, 40, 210, 405
2026/05/04 23:30:01.507, 0, 0, 0, 1, 12282, 10.20, 40, 210, 405
2026/05/04 23:30:01.607, 0, 0, 0, 1, 12282, 10.20, 40, 210, 405
2026/05/04 23:30:01.707, 0, 0, 0, 1, 12282, 10.20, 40, 210, 405
2026/05/04 23:30:01.807, 0, 0, 0, 1, 12282, 10.28, 40, 210, 405
2026/05/04 23:30:01.907, 0, 0, 0, 1, 12282, 10.28, 40, 210, 405
2026/05/04 23:30:02.007, 0, 0, 0, 1, 12282, 10.28, 40, 210, 405
2026/05/04 23:30:02.107, 0, 0, 0, 1, 12282, 10.28, 40, 210, 405
2026/05/04 23:30:02.208, 0, 0, 0, 1, 12282, 10.28, 40, 210, 405
2026/05/04 23:30:02.308, 0, 0, 0, 1, 12282, 10.28, 40, 210, 405
2026/05/04 23:30:02.408, 0, 0, 0, 1, 12282, 10.28, 40, 210, 405
2026/05/04 23:30:02.508, 0, 0, 0, 1, 12282, 10.28, 40, 210, 405
2026/05/04 23:30:02.608, 0, 0, 0, 1, 12282, 10.28, 40, 210, 405
2026/05/04 23:30:02.708, 0, 0, 0, 1, 12282, 10.28, 40, 210, 405
2026/05/04 23:30:02.808, 0, 0, 0, 1, 12282, 10.27, 40, 210, 405
2026/05/04 23:30:02.908, 0, 0, 0, 1, 12282, 10.27, 40, 210, 405
2026/05/04 23:30:03.008, 0, 0, 0, 1, 12282, 10.27, 40, 210, 405
2026/05/04 23:30:03.108, 0, 0, 0, 1, 12282, 10.27, 40, 210, 405
2026/05/04 23:30:03.208, 0, 0, 0, 1, 12282, 10.27, 40, 210, 405
