Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,512.00,512.00,512.00,15360.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,30.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,30.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),128.57,128.21,128.83,3856.95,128.25,128.36,128.42,128.48,128.57,128.66,128.70,128.75,128.82,0.13
HTTP Data Sent (KB),4.53,4.22,4.84,135.97,4.24,4.31,4.35,4.42,4.54,4.64,4.70,4.77,4.82,0.15
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),24833.88,24711.76,24992.60,745016.45,24715.75,24725.70,24733.30,24785.47,24812.22,24876.50,24952.32,24967.04,24986.45,75.68
HTTP Receiving (ms),19185.05,19065.12,19345.86,575551.62,19068.96,19078.69,19085.79,19139.02,19162.36,19229.43,19297.75,19320.07,19339.64,74.10
HTTP Sending (ms),0.09,0.08,0.14,2.68,0.08,0.08,0.08,0.08,0.08,0.09,0.12,0.13,0.14,0.02
HTTP Total Time (ms),24833.88,24711.76,24992.60,745016.45,24715.75,24725.70,24733.30,24785.47,24812.22,24876.50,24952.32,24967.04,24986.45,75.68
HTTP Waiting (TTFB) (ms),5648.74,5646.04,5687.26,169462.15,5646.19,5646.57,5646.65,5646.83,5647.14,5647.49,5647.93,5652.22,5678.05,7.32
Input Sequence Length (tokens),1024.00,1024.00,1024.00,30720.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Inter Chunk Latency (ms),37.97,33.17,1609.72,575551.43,36.96,37.11,37.18,37.30,37.45,37.61,37.82,38.00,42.94,13.44
Inter Token Latency (ms),38.10,37.34,41.30,1142.93,37.38,37.49,37.49,37.73,37.99,38.25,38.45,38.82,40.65,0.70
OSL Mismatch Diff % (%),-1.42,-9.18,0.00,-42.58,-7.82,-3.53,-2.34,-1.56,-1.17,-0.15,0.00,0.00,0.00,1.74
Output Sequence Length (tokens),504.73,465.00,512.00,15142.00,471.96,493.95,500.00,504.00,506.00,511.25,512.00,512.00,512.00,8.89
Output Token Count (tokens),504.73,465.00,512.00,15142.00,471.96,493.95,500.00,504.00,506.00,511.25,512.00,512.00,512.00,8.89
Output Token Throughput Per User (tokens/sec/user),26.26,24.21,26.78,787.70,24.61,25.76,26.00,26.14,26.32,26.51,26.67,26.68,26.75,0.46
Prefill Throughput Per User (tokens/sec/user),181.28,180.05,181.36,5438.26,180.34,181.16,181.30,181.32,181.33,181.33,181.34,181.34,181.36,0.23
Request Latency (ms),24833.92,24711.80,24992.64,745017.69,24715.79,24725.74,24733.34,24785.51,24812.26,24876.55,24952.35,24967.07,24986.49,75.68
Time to First Output Token (ms),5648.88,5646.17,5687.39,169466.26,5646.32,5646.71,5646.78,5647.01,5647.27,5647.61,5648.06,5652.35,5678.18,7.32
Time to First Token (ms),5648.88,5646.17,5687.39,169466.26,5646.32,5646.71,5646.78,5647.01,5647.27,5647.61,5648.06,5652.35,5678.18,7.32
Time to Second Token (ms),37.62,36.92,43.00,1128.51,36.93,36.98,37.06,37.25,37.42,37.53,37.75,38.43,41.84,1.06

Metric,Value
Benchmark Duration (sec),745.12
OSL Mismatch Count,1.00
Output Token Throughput (tokens/sec),20.32
Request Count,30.00
Request Throughput (requests/sec),0.04
Total Input Sequence Length (tokens),30720.00
Total Output Sequence Length (tokens),15142.00
Total Output Tokens (tokens),15142.00
Total Token Throughput (tokens/sec),61.55


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
