timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/05/04 23:06:00.707, 0, 0, 0, 1, 12282, 10.88, 43, 210, 405
2026/05/04 23:06:00.810, 0, 0, 0, 1, 12282, 10.88, 43, 210, 405
2026/05/04 23:06:00.910, 0, 0, 0, 1, 12282, 10.88, 43, 210, 405
2026/05/04 23:06:01.011, 0, 0, 0, 1, 12282, 10.88, 43, 210, 405
2026/05/04 23:06:01.111, 0, 0, 0, 1, 12282, 10.88, 43, 210, 405
2026/05/04 23:06:01.211, 0, 0, 0, 1, 12282, 10.88, 43, 210, 405
2026/05/04 23:06:01.311, 0, 0, 0, 1, 12282, 10.76, 43, 210, 405
2026/05/04 23:06:01.411, 0, 0, 0, 1, 12282, 10.76, 43, 210, 405
2026/05/04 23:06:01.511, 0, 0, 0, 1, 12282, 10.76, 43, 210, 405
2026/05/04 23:06:01.612, 0, 0, 0, 1, 12282, 10.76, 43, 210, 405
2026/05/04 23:06:01.712, 0, 0, 0, 1, 12282, 10.76, 43, 210, 405
2026/05/04 23:06:01.812, 0, 0, 0, 1, 12282, 10.80, 43, 210, 405
2026/05/04 23:06:01.912, 0, 0, 0, 1, 12282, 10.80, 43, 210, 405
2026/05/04 23:06:02.012, 0, 0, 0, 1, 12282, 10.80, 43, 210, 405
2026/05/04 23:06:02.113, 0, 0, 0, 1, 12282, 10.80, 43, 210, 405
2026/05/04 23:06:02.213, 0, 0, 0, 1, 12282, 10.80, 43, 210, 405
2026/05/04 23:06:02.313, 0, 0, 0, 1, 12282, 10.80, 43, 210, 405
2026/05/04 23:06:02.413, 0, 0, 0, 1, 12282, 10.80, 43, 210, 405
2026/05/04 23:06:02.513, 0, 0, 0, 1, 12282, 10.80, 43, 210, 405
2026/05/04 23:06:02.613, 0, 0, 0, 1, 12282, 10.80, 43, 210, 405
2026/05/04 23:06:02.714, 0, 0, 0, 1, 12282, 10.80, 43, 210, 405
2026/05/04 23:06:02.814, 0, 0, 0, 1, 12282, 10.87, 43, 210, 405
2026/05/04 23:06:02.914, 0, 0, 0, 1, 12282, 10.87, 43, 210, 405
2026/05/04 23:06:03.014, 0, 0, 0, 1, 12282, 10.87, 43, 210, 405
2026/05/04 23:06:03.114, 0, 0, 0, 1, 12282, 10.87, 43, 210, 405
2026/05/04 23:06:03.214, 0, 0, 0, 1, 12282, 10.87, 43, 210, 405
2026/05/04 23:06:03.315, 0, 0, 0, 1, 12282, 10.87, 43, 210, 405
2026/05/04 23:06:03.415, 0, 0, 0, 1, 12282, 10.87, 43, 210, 405
2026/05/04 23:06:03.515, 0, 0, 0, 1, 12282, 10.87, 43, 210, 405
2026/05/04 23:06:03.615, 0, 0, 0, 1, 12282, 10.87, 43, 210, 405
2026/05/04 23:06:03.715, 0, 0, 0, 1, 12282, 10.87, 43, 210, 405
2026/05/04 23:06:03.816, 0, 0, 0, 1, 12282, 10.89, 43, 210, 405
2026/05/04 23:06:03.916, 0, 0, 0, 1, 12282, 10.89, 43, 210, 405
2026/05/04 23:06:04.016, 0, 0, 0, 1, 12282, 10.89, 43, 210, 405
2026/05/04 23:06:04.116, 0, 0, 0, 1, 12282, 10.89, 43, 210, 405
2026/05/04 23:06:04.216, 0, 0, 0, 1, 12282, 10.89, 43, 210, 405
2026/05/04 23:06:04.317, 0, 0, 0, 1, 12282, 10.89, 43, 210, 405
2026/05/04 23:06:04.417, 0, 0, 0, 1, 12282, 10.89, 43, 210, 405
2026/05/04 23:06:04.517, 0, 0, 0, 1, 12282, 10.89, 43, 210, 405
2026/05/04 23:06:04.617, 0, 0, 0, 1, 12282, 10.89, 43, 210, 405
2026/05/04 23:06:04.717, 0, 0, 0, 1, 12282, 10.89, 43, 210, 405
2026/05/04 23:06:04.817, 0, 0, 0, 1, 12282, 10.97, 43, 210, 405
2026/05/04 23:06:04.918, 0, 0, 0, 1, 12282, 10.97, 43, 210, 405
2026/05/04 23:06:05.018, 0, 0, 0, 1, 12282, 10.97, 43, 210, 405
2026/05/04 23:06:05.118, 0, 0, 0, 1, 12282, 10.97, 43, 210, 405
2026/05/04 23:06:05.218, 0, 0, 0, 1, 12282, 10.97, 43, 210, 405
2026/05/04 23:06:05.318, 0, 0, 0, 1, 12282, 10.97, 43, 210, 405
2026/05/04 23:06:05.419, 0, 0, 0, 1, 12282, 10.97, 43, 210, 405
2026/05/04 23:06:05.519, 0, 0, 0, 1, 12282, 10.97, 43, 210, 405
2026/05/04 23:06:05.619, 0, 0, 0, 1, 12282, 10.97, 43, 210, 405
2026/05/04 23:06:05.719, 0, 0, 0, 1, 12282, 10.97, 43, 210, 405
2026/05/04 23:06:05.819, 0, 0, 0, 1, 12282, 10.92, 42, 210, 405
2026/05/04 23:06:05.920, 0, 0, 0, 1, 12282, 10.92, 42, 210, 405
2026/05/04 23:06:06.020, 0, 0, 0, 1, 12282, 10.92, 42, 210, 405
2026/05/04 23:06:06.120, 0, 0, 0, 1, 12282, 10.92, 42, 210, 405
2026/05/04 23:06:06.220, 0, 0, 0, 1, 12282, 10.92, 42, 210, 405
2026/05/04 23:06:06.334, 0, 0, 0, 1, 12282, 10.92, 42, 210, 405
2026/05/04 23:06:06.434, 0, 0, 0, 1, 12282, 10.92, 42, 210, 405
2026/05/04 23:06:06.534, 0, 0, 0, 1, 12282, 10.92, 42, 210, 405
2026/05/04 23:06:06.634, 0, 0, 0, 1, 12282, 10.92, 42, 210, 405
2026/05/04 23:06:06.734, 0, 0, 0, 1, 12282, 10.92, 42, 210, 405
2026/05/04 23:06:06.834, 0, 0, 0, 1, 12282, 10.88, 42, 210, 405
2026/05/04 23:06:06.935, 0, 0, 0, 1, 12282, 10.88, 42, 210, 405
2026/05/04 23:06:07.035, 0, 0, 0, 1, 12282, 10.88, 42, 210, 405
2026/05/04 23:06:07.135, 0, 0, 0, 1, 12282, 10.88, 42, 210, 405
2026/05/04 23:06:07.235, 0, 0, 0, 1, 12282, 10.88, 42, 210, 405
2026/05/04 23:06:07.335, 0, 0, 0, 1, 12282, 10.88, 42, 210, 405
2026/05/04 23:06:07.435, 0, 0, 0, 1, 12282, 10.88, 42, 210, 405
2026/05/04 23:06:07.535, 0, 0, 0, 1, 12282, 10.88, 42, 210, 405
2026/05/04 23:06:07.635, 0, 0, 0, 1, 12282, 10.88, 42, 210, 405
2026/05/04 23:06:07.736, 0, 0, 0, 1, 12282, 10.88, 42, 210, 405
2026/05/04 23:06:07.836, 0, 0, 0, 1, 12282, 10.91, 42, 210, 405
2026/05/04 23:06:07.936, 0, 0, 0, 1, 12282, 10.91, 42, 210, 405
2026/05/04 23:06:08.036, 0, 0, 0, 1, 12282, 10.91, 42, 210, 405
2026/05/04 23:06:08.136, 0, 0, 0, 1, 12282, 10.91, 42, 210, 405
2026/05/04 23:06:08.236, 0, 0, 0, 1, 12282, 10.91, 42, 210, 405
2026/05/04 23:06:08.336, 0, 0, 0, 1, 12282, 10.91, 42, 210, 405
2026/05/04 23:06:08.436, 0, 0, 0, 1, 12282, 10.91, 42, 210, 405
2026/05/04 23:06:08.536, 0, 0, 0, 1, 12282, 10.91, 42, 210, 405
2026/05/04 23:06:08.636, 0, 0, 0, 1, 12282, 10.91, 42, 210, 405
2026/05/04 23:06:08.736, 0, 0, 0, 1, 12282, 10.91, 42, 210, 405
