run,node,n_gpus,strategy,workload,n_ranks,comm_pct_head,comm_pct_mean,comp_pct_head,gpu_s_head,dominant_collective,throughput_req_s,itl_ms,ttft_ms,latency_ms,out_tok_throughput,ifutil_peak,iperf3_gbps
N1_tupi_none_long_r1_798983,tupi,1,none,long,1,0.0,0.0,100.0,3.232569591,,0.11124384136505625,17.491661345077926,125.02623023333332,8984.5102653,57.175059294080015,0.01,
N1_tupi_none_short_r1_790477,tupi,1,none,short,1,0.0,0.0,100.0,2.857570791,,0.42310575925922467,18.33266864750657,32.206108066666665,2360.4550263,54.54909213546119,0.03,
N2_poti_PP_long_r1_790071,poti,2,PP,long,2,0.23700685535293708,20.348508043101067,99.76299314464707,4.550381036,SendRecv,0.22076861150419,35.047520602286724,80.3257771,4527.8100411000005,28.53305823551608,4.32,0.941310521396887
N2_poti_PP_short_r1_790074,poti,2,PP,short,2,0.2313309469972509,20.221164121498163,99.76866905300275,4.542070197,SendRecv,0.21743070863922687,35.56409856967479,79.76526933333332,4597.584487566666,28.11835888217734,2.19,0.9412642257139312
N2_poti_TP_long_r1_790072,poti,2,TP,long,2,58.48277983397453,55.36318536297658,41.51722016602547,5.950058022,AllReduce,0.22201235798741975,31.145224941732288,547.1074064,4502.550974,32.10821051364194,95.15,0.9412740123418221
N2_poti_TP_short_r1_790073,poti,2,TP,short,2,55.1954659568318,53.81855737501529,44.8045340431682,5.53172413,AllReduce,0.2282581248014599,30.142185547712778,552.4934505333333,4379.535882499999,33.176444097560136,95.13,0.9412789998362412
N2_tupi_PP_long_r1_796872,tupi,2,PP,long,2,23.807623007869402,47.39725585932325,76.19237699213059,1.707798237,SendRecv,0.09790794885209125,19.707038796946716,238.13880063333332,10209.093500366665,50.761947543301105,13.26,0.9412815406556065
N2_tupi_PP_short_r1_796872,tupi,2,PP,short,2,5.247595485589708,27.35368677599898,94.75240451441029,1.272340888,SendRecv,0.3890787299379776,19.84284071473302,47.558854466666666,2568.2560817666667,50.396529893148674,2.52,0.9412777764836614
N2_tupi_TP_long_r1_798983,tupi,2,TP,long,2,96.73059408367779,96.8820147051616,3.2694059163222136,63.661713971,AllReduce,0.06499002023537186,23.14998134357267,3689.1255605999995,15379.954353933332,43.20399512984745,97.2,0.941265260828411
N2_tupi_TP_short_r1_796872,tupi,2,TP,short,2,96.9442760720069,96.9549053716672,3.0557239279930997,63.397645522,AllReduce,0.29215830374986146,22.692789582073495,536.6517973666666,3420.8679775,44.07028206168455,97.33,0.941269214152081
N4_poti_PP_long_r1_790467,poti,4,PP,long,4,3.3138954986943197,58.16971857424221,96.68610450130568,1.896003028,SendRecv,0.21064386285655323,36.41424963494011,119.88946276666665,4745.6753731,27.4620600201408,2.27,0.9412015529381913
N4_poti_PP_short_r1_796873,poti,4,PP,short,4,3.3299681168992974,58.29274642377713,96.6700318831007,1.896873537,SendRecv,0.21568976031811882,35.594517690212506,117.54600013333334,4634.4107448,28.094762738997694,2.27,0.9412631584622883
N4_poti_TP_long_r1_790077,poti,4,TP,long,4,81.46144910967769,81.19620279244765,18.538550890322313,7.400460576,AllReduce,0.17351725099087362,39.16099518897637,789.060355,5762.506743999999,25.535713128965693,96.86,0.9412230996676382
N4_poti_TP_short_r1_790075,poti,4,TP,short,4,81.59849813059348,81.16678384132544,18.401501869406516,7.453938639,AllReduce,0.17390169232504923,39.05129001181103,789.8776715,5749.391503,25.608346747576917,96.84,0.9412312247488931
