run,rank,is_head,comm_s,comp_s,gpu_s,comm_pct,dominant_collective
N1_tupi_none_long_r1_798983,tupi3,True,0.0,3.232569591,3.232569591,0.0,
N1_tupi_none_short_r1_790477,tupi2,True,0.0,2.857570791,2.857570791,0.0,
N2_poti_PP_long_r1_790071,poti1,True,0.010784715,4.539596321,4.550381036,0.23700685535293708,SendRecv
N2_poti_PP_long_r1_790071,poti2,False,2.829228693,4.163425898,6.992654591,40.460009230849195,SendRecv
N2_poti_PP_short_r1_790074,poti3,True,0.010507214,4.531562983,4.542070197,0.2313309469972509,SendRecv
N2_poti_PP_short_r1_790074,poti5,False,2.798913912,4.161654341,6.960568253,40.21099729599907,SendRecv
N2_poti_TP_long_r1_790072,poti3,True,3.479759333,2.470298689,5.950058022,58.48277983397453,AllReduce
N2_poti_TP_long_r1_790072,poti5,False,2.711058647,2.47820687,5.189265517,52.243590891978634,AllReduce
N2_poti_TP_short_r1_790073,poti1,True,3.053260909,2.478463221,5.53172413,55.1954659568318,AllReduce
N2_poti_TP_short_r1_790073,poti2,False,2.732051188,2.477646163,5.209697351,52.44164879319877,AllReduce
N2_tupi_PP_long_r1_796872,tupi3,True,0.406586166,1.301212071,1.707798237,23.807623007869402,SendRecv
N2_tupi_PP_long_r1_796872,tupi4,False,5.201984206,2.126107362,7.328091568,70.9868887107771,SendRecv
N2_tupi_PP_short_r1_796872,tupi3,True,0.066767303,1.205573585,1.272340888,5.247595485589708,SendRecv
N2_tupi_PP_short_r1_796872,tupi4,False,2.482035667,2.536255486,5.018291153,49.459778066408255,SendRecv
N2_tupi_TP_long_r1_798983,tupi3,True,61.580354128,2.081359843,63.661713971,96.73059408367779,AllReduce
N2_tupi_TP_long_r1_798983,tupi4,False,63.436844085,1.939429435,65.37627352,97.0334353266454,AllReduce
N2_tupi_TP_short_r1_796872,tupi3,True,61.460388498,1.937257024,63.397645522,96.9442760720069,AllReduce
N2_tupi_TP_short_r1_796872,tupi4,False,61.958043657,1.938931559,63.896975216,96.96553467132748,AllReduce
N4_poti_PP_long_r1_790467,poti1,True,0.062831559,1.833171469,1.896003028,3.3138954986943197,SendRecv
N4_poti_PP_long_r1_790467,poti2,False,9.90653868,1.769043122,11.675581802,84.84835143978036,SendRecv
N4_poti_PP_long_r1_790467,poti3,False,9.700854694,1.757020932,11.457875626,84.66538659214453,SendRecv
N4_poti_PP_long_r1_790467,poti4,False,4.800515886,3.220229924,8.02074581,59.85124076634963,SendRecv
N4_poti_PP_short_r1_796873,poti1,True,0.063165284,1.833708253,1.896873537,3.3299681168992974,SendRecv
N4_poti_PP_short_r1_796873,poti2,False,9.976260045,1.77254884,11.748808885,84.91294856057232,SendRecv
N4_poti_PP_short_r1_796873,poti3,False,9.968542804,1.76058422,11.729127024,84.98963975411372,SendRecv
N4_poti_PP_short_r1_796873,poti4,False,4.82153346,3.222610371,8.044143831,59.9384292635232,SendRecv
N4_poti_TP_long_r1_790077,poti1,True,6.028522426,1.37193815,7.400460576,81.46144910967769,AllReduce
N4_poti_TP_long_r1_790077,poti2,False,5.996187926,1.372248175,7.368436101,81.37666994474219,AllReduce
N4_poti_TP_long_r1_790077,poti3,False,6.007450799,1.364066508,7.371517307,81.49544454430459,AllReduce
N4_poti_TP_long_r1_790077,poti5,False,5.642499952,1.371064315,7.013564267,80.45124757106613,AllReduce
N4_poti_TP_short_r1_790075,poti1,True,6.082301981,1.371636658,7.453938639,81.59849813059348,AllReduce
N4_poti_TP_short_r1_790075,poti2,False,6.003552156,1.370937618,7.374489774,81.40972921498285,AllReduce
N4_poti_TP_short_r1_790075,poti3,False,5.847222192,1.364938971,7.212161163,81.07448044835101,AllReduce
N4_poti_TP_short_r1_790075,poti5,False,5.683270796,1.369296266,7.052567062,80.58442757137443,AllReduce
