n_gpus,node,strategy,workload,replica,experiment_name,parallelism,label,concurrency,request_throughput,output_token_throughput,output_token_throughput_user,total_token_throughput,request_latency_avg,request_latency_p50,request_latency_p90,request_latency_p99,request_latency_std,ttft_avg,ttft_p50,ttft_p99,time_to_second_token_avg,inter_token_latency_avg,inter_token_latency_p50,inter_token_latency_p99,output_sequence_length_avg,input_sequence_length_avg,request_count,benchmark_duration
1,tupi,none,long,r1,N1_tupi_none_long_r1_795502,Single GPU,TUPI N1 Single GPU Long,1,0.11647353184085527,59.03655083906817,59.67922603822287,178.30544744410395,8581.515834433332,8579.3512645,8587.4687667,8594.46200002,4.9030155793142285,105.07905866666667,104.93174499999999,108.18456228,16.2635183,16.75699410095822,16.781434347524755,17.027935473824993,506.8666666666667,1024.0,30.0,257.56924793
1,tupi,none,long,r1,N1_tupi_none_long_r1_795502,Single GPU,TUPI N1 Single GPU Long,2,0.22248526841075617,112.50338405970571,57.16014256986544,340.32829891232,8985.957586166665,8988.1495275,8994.8165997,8999.56965169,13.248462336464488,156.82679443333333,189.11891549999999,202.17366626,55.39263916666666,17.496306647007778,17.464970777254404,17.841406419082475,505.6666666666667,1024.0,30.0,134.840388374
1,tupi,none,long,r1,N1_tupi_none_long_r1_795502,Single GPU,TUPI N1 Single GPU Long,4,0.4304726818420993,218.3680296814509,55.67569676310397,659.1720558877606,9285.6348463,9290.566042,9297.706027299999,9401.92998084,41.960962256897915,191.79511825,194.5800495,389.41251917,78.8242544,17.96422907706677,17.970833945205477,18.472690326637434,507.275,1024.0,40.0,92.92111134400001
1,tupi,none,long,r1,N1_tupi_none_long_r1_795502,Single GPU,TUPI N1 Single GPU Long,8,0.8231567356401597,417.2169914592149,53.551445421180446,1260.1294887547383,9708.431295787499,9729.9802415,9820.5157107,10131.72393528,125.44774430741498,260.6273894625,198.689666,756.71937436,96.14003774999999,18.678732214070628,18.6833664220659,19.30817756337943,506.85,1024.0,80.0,97.18683761700001
1,tupi,none,long,r1,N1_tupi_none_long_r1_795502,Single GPU,TUPI N1 Single GPU Long,16,1.5023507605073378,762.5744666490184,49.395943015067324,2300.9816454085326,10634.198434456248,10745.856239499999,10931.5208881,11787.69136693,397.5624305294587,371.25015777499993,355.534247,1468.28618442,124.36135680625,20.260445907504998,20.335147418205782,21.232871858852157,507.5875,1024.0,160.0,106.49976304200001
1,tupi,none,long,r1,N1_tupi_none_long_r1_795502,Single GPU,TUPI N1 Single GPU Long,32,2.404177678317206,1219.1434745641657,39.577558190876985,3681.0214171609846,13288.15792805625,13255.8071,13831.4315502,16013.82890175,784.3550444608043,479.81143299687494,370.137904,2766.17848006,144.122601275,25.312143830284917,25.514824275929545,27.102593892551457,507.09375,1024.0,320.0,133.10164339600001
1,tupi,none,short,r1,N1_tupi_none_short_r1_795503,Single GPU,TUPI N1 Single GPU Short,1,0.4723589600440448,60.4462015869696,60.77196210199222,120.90814847260734,2115.7373241,2115.2419415,2116.9477376,2122.87466796,2.0957274610672276,26.50433833333333,26.4588885,27.964778510000002,16.317899533333332,16.455003839111775,16.446960858267715,16.555949829695038,127.96666666666667,128.0,30.0,63.511021358
1,tupi,none,short,r1,N1_tupi_none_short_r1_795503,Single GPU,TUPI N1 Single GPU Short,2,0.9113122702792108,116.58721644438704,58.94260606864165,233.23518704012602,2192.6160542666667,2192.25812,2195.7618716999996,2198.9097039699996,2.761836255540215,39.10625243333333,39.2906185,47.2243602,19.352970266666667,16.965799414309714,16.96957963385827,17.1466349496,127.93333333333334,128.0,30.0,32.919561141
1,tupi,none,short,r1,N1_tupi_none_short_r1_795503,Single GPU,TUPI N1 Single GPU Short,4,1.7819027168106438,228.0835477517624,58.07964962462604,456.1670955035248,2242.823934425,2241.45417,2250.8451095,2251.6583988499997,4.008056464920135,56.11593739999999,61.376350499999994,71.13624308,23.2874275,17.218173204921257,17.165283366141733,17.405130305196852,128.0,128.0,40.0,22.447914593
1,tupi,none,short,r1,N1_tupi_none_short_r1_795503,Single GPU,TUPI N1 Single GPU Short,8,3.5174982963427897,450.06390701705993,58.396040046975735,900.303688948937,2272.56578375,2271.026035,2275.7324688,2288.9290569899995,5.282631604544061,98.38938865,105.7405605,119.05130423,25.435030774999998,17.126426721183023,17.04747446062992,17.61989760661417,127.95,128.0,80.0,22.743436744
1,tupi,none,short,r1,N1_tupi_none_short_r1_795503,Single GPU,TUPI N1 Single GPU Short,16,6.913146959581585,884.7531893209507,57.77243393664919,1769.6360001473936,2310.9362691125,2327.0809635,2389.4369310999996,2405.0800195300003,76.77030403557028,112.6559568,74.105958,202.84822509999998,24.8838496625,17.31186473693406,17.274323732283463,18.46791712401575,127.98125,128.0,160.0,23.144307641
1,tupi,none,short,r1,N1_tupi_none_short_r1_795503,Single GPU,TUPI N1 Single GPU Short,32,12.848802455628466,1644.325494259053,53.11159568837157,3288.9722085794965,2486.1726436687495,2411.4581215,2728.2193259000014,2857.6090258299996,148.624117141924,93.514644809375,50.139482,398.49137081,39.03992334687499,18.84358659597804,18.627441488188975,20.925952950393697,127.975,128.0,320.0,24.905044739
2,poti,PP,long,r1,N2_poti_PP_long_r1_795373,PP,POTI N2 PP Long,1,0.0568007493217089,28.841527147253053,29.45345061738968,87.00549445268297,17601.718161733334,17601.073981499998,17619.45072,17640.472486669998,14.45277636110021,396.05528573333333,396.08741899999995,397.33423073,33.496088,33.95315633270246,34.04223646930693,34.26380110830677,507.76666666666665,1024.0,30.0,528.162046421
2,poti,PP,long,r1,N2_poti_PP_long_r1_795373,PP,POTI N2 PP Long,2,0.10779619767712421,54.54846923121409,28.151628546099865,164.9317756525893,18548.305208066664,18521.0961745,18573.2574304,18831.695882279997,76.77207860895875,607.1715340333333,738.189034,778.85155455,201.50831446666666,35.530821641034215,35.420067629121405,36.922689870764,506.03333333333336,1024.0,30.0,278.302951741
2,poti,PP,long,r1,N2_poti_PP_long_r1_795373,PP,POTI N2 PP Long,4,0.2039739160614842,103.44027218268018,26.750374153630634,312.30956222964,19571.986711175,19597.736548499997,19638.210043,19664.083904979998,146.13997904018072,649.304200325,603.687378,1125.3640355399998,275.932830625,37.38883992089717,37.46887661384639,38.23827731575527,507.125,1024.0,40.0,196.103505646
2,poti,PP,long,r1,N2_poti_PP_long_r1_795373,PP,POTI N2 PP Long,8,0.38250971749904167,194.23365317454463,25.272108058034455,585.928385265032,20904.030195612497,20868.2096915,21252.086060799997,21957.19174143,343.44722163468447,846.8327111625,773.2551955,2068.01417042,404.6659681625,39.57884512623467,39.629925984837506,40.663839953781874,507.7875,1024.0125,80.0,209.14501342100002
2,poti,PP,long,r1,N2_poti_PP_long_r1_795373,PP,POTI N2 PP Long,16,0.6952111990857452,352.7371272061243,23.221007800310023,1064.642085209916,22992.509143206247,23020.677121499997,23364.0111,25502.53586628,710.750767788912,1171.8764900625,1144.0863135,3583.664153049999,539.0126395125001,43.09953337338887,43.05039106747609,45.420826951567456,507.38125,1024.0125,160.0,230.145889782
2,poti,PP,long,r1,N2_poti_PP_long_r1_795373,PP,POTI N2 PP Long,32,1.1412652692700638,578.9567381927704,19.13413785848831,1747.6123739253158,28012.928825459374,27921.8893305,29124.735921500003,34225.63192164,1706.1595002898937,1489.4186738499998,1269.795177,6664.65895212,665.5708796906249,52.391039922168396,52.68376663012907,56.44752853974026,507.29375,1024.0,320.0,280.390553026
2,poti,PP,short,r1,N2_poti_PP_short_r1_795497,PP,POTI N2 PP Short,1,0.23134532362681848,29.589066891870083,29.91952863412765,59.20126831610285,4320.8676925,4320.28434,4328.624540399999,4332.60081923,5.970423161754286,79.4783685,79.3696135,81.20597946000001,33.15350973333333,33.42344705854725,33.39997011811023,33.9025546713346,127.9,128.0,30.0,129.676275836
2,poti,PP,short,r1,N2_poti_PP_short_r1_795497,PP,POTI N2 PP Short,2,0.4452162974513168,56.98768607376855,29.09841538678911,113.9753721475371,4489.520196266666,4486.2011434999995,4504.872358600001,4556.18421664,18.549107633235376,124.79010213333333,122.79103649999999,148.52181091999998,52.9809026,34.367953497112865,34.36999026377953,35.111235039212595,128.0,128.0,30.0,67.382978053
2,poti,PP,short,r1,N2_poti_PP_short_r1_795497,PP,POTI N2 PP Short,4,0.8540810204379377,109.32237061605602,28.414609851468015,218.64474123211204,4680.8799546499995,4672.873356,4696.3762952,4745.478582350001,21.926076220491876,210.311435575,246.57481349999998,261.57290004,70.08440145,35.201326921850395,34.843010011811025,36.39337260889764,128.0,128.0,40.0,46.833964276
2,poti,PP,short,r1,N2_poti_PP_short_r1_795497,PP,POTI N2 PP Short,8,1.4670519630349033,187.76431311892966,27.104937690167738,375.5469643873973,5451.0095461,5080.405989,5561.563308600032,8983.128191819998,1177.550352287856,738.16008585,430.0404465,4412.5927877700005,126.586975375,37.11266065061164,36.54547759055118,46.22176070574784,127.9875,128.0,80.0,54.531129105000005
2,poti,PP,short,r1,N2_poti_PP_short_r1_795497,PP,POTI N2 PP Short,16,3.007312513273583,384.9547974022266,26.34693031008099,769.8907991012452,5315.1406954125005,5365.3644095,5682.783431199999,5923.47108252,382.3414626240126,490.40029240625,299.925797,1284.8300813800001,81.19414223125,37.98851782088004,37.89032766929133,43.77252629767154,128.00625,128.0,160.0,53.203649203000005
2,poti,PP,short,r1,N2_poti_PP_short_r1_795497,PP,POTI N2 PP Short,32,5.952929258579275,761.5098724998207,24.810504149052164,1523.4848175979678,5371.4913806625,5155.1423095,6159.2130973,6357.844426149999,416.17741147717004,249.619070328125,113.5670545,1171.02511555,111.511006996875,40.3551963444052,39.720169598425194,46.932170198110235,127.921875,128.0,320.0,53.75504833
2,poti,TP,long,r1,N2_poti_TP_long_r1_796179,TP,POTI N2 TP Long,1,0.053541105423436375,27.115000489942293,34.12049703425888,81.94109244354114,18673.340099,18668.665265,18712.9430515,18721.89204183,28.050332430994658,3860.1872360999996,3859.895078,3867.3250698099996,28.9112686,29.310468643479457,29.321297390018465,30.158921286073067,506.43333333333334,1024.0,30.0,560.3171574950001
2,poti,TP,long,r1,N2_poti_TP_long_r1_796179,TP,POTI N2 TP Long,2,0.07805668258122181,39.572136179260085,25.926040143523032,119.50217914243123,25617.781144166667,25597.0971435,25794.714663400002,25802.771163729998,130.77558853546807,5923.1384253,7642.725671499999,7735.76662976,1823.3453459,38.91394591901358,36.31149096477656,43.328067237309234,506.96666666666664,1024.0,30.0,384.336087673
2,poti,TP,long,r1,N2_poti_TP_long_r1_796179,TP,POTI N2 TP Long,4,0.10326652053598655,52.1599195227268,16.238354774380603,157.90483655157703,38726.1113028,38744.188889,38784.957281999996,42567.24362301,1720.3378574098954,7438.44660535,7726.8246755,15398.018164579998,2912.1910599,62.099498336290736,61.46453734622426,71.4095436125447,505.1,1024.0,40.0,387.347223402
2,poti,TP,long,r1,N2_poti_TP_long_r1_796179,TP,POTI N2 TP Long,8,0.12738722339964653,64.69997076468047,9.998736857081344,195.14448752591852,62685.1262599625,62856.6463015,66615.2678544,75638.35565502995,5302.463513356468,11288.69821145,7772.367319,30422.255890839995,3848.5720857875,101.40291867912981,105.80068407355388,116.65913621758169,507.9,1024.0,80.0,628.006466151
2,poti,TP,long,r1,N2_poti_TP_long_r1_796179,TP,POTI N2 TP Long,16,0.1432529160572463,72.74562143532039,5.37620870211253,219.43660747794058,111651.70434309375,113880.24483499999,117973.9336043,155571.56086994,13220.281762328597,16008.9584276,15173.481652499999,60667.16946688,5244.132178762499,188.74060809173469,188.5349170114431,221.0393978932123,507.8125,1024.0,160.0,1116.9057105690001
2,poti,TP,long,r1,N2_poti_TP_long_r1_796179,TP,POTI N2 TP Long,32,0.12512962040933148,63.41256338293897,2.6341461934433057,191.5452946820944,251943.5325040375,245976.44447649998,300708.541214,407689.65872619,42338.73356914745,46922.408791949994,45628.968127,113912.67922108999,6824.348420899999,405.4154023518221,390.90341985813484,609.3330770481164,506.775,1024.0,320.0,2557.348123915
2,poti,TP,short,r1,N2_poti_TP_short_r1_796674,TP,POTI N2 TP Short,1,0.23716897584404176,30.357628908037345,34.7245044275186,60.71525781607469,4214.460729733333,4214.718463499999,4230.6912987,4251.61461885,15.206866593895375,557.0551632666667,555.489913,587.3798100600001,28.552782866666664,28.79846902729659,28.808290047244093,28.9859650723622,128.0,128.0,30.0,126.49209237100001
2,poti,TP,short,r1,N2_poti_TP_short_r1_796674,TP,POTI N2 TP Short,2,0.3620599987530455,46.343679840389825,27.236176881556087,92.68735968077965,5521.468261033334,5530.0426305,5544.7471015,5562.413799569999,23.988918148797,843.7946786666666,856.75262,1128.48752423,294.2910717,36.83207545170603,36.75321056299212,39.080933494960625,128.0,128.0,30.0,82.85919489400001
2,poti,TP,short,r1,N2_poti_TP_short_r1_796674,TP,POTI N2 TP Short,4,0.5063659376562489,64.80218087155845,20.96990220516048,129.6170208915583,7896.657708524999,7904.962963,7936.611089399999,7939.442307339999,33.589888400767435,1774.1512698,2167.8468395,2176.9813862399997,438.366549025,48.21772847627953,45.287089826771656,57.82816378204724,127.975,128.0,40.0,78.994254995
2,poti,TP,short,r1,N2_poti_TP_short_r1_796674,TP,POTI N2 TP Short,8,0.6608104976197983,84.58374369533418,15.473804456184052,169.16748739066836,12103.8880722125,12103.182772,12124.4922567,12131.02610042,16.5037338687245,3767.3059467,4217.367432,4232.13859592,512.7038072124999,65.64529530687643,62.1473161062992,90.79319336988188,128.0,128.0,80.0,121.063452061
2,poti,TP,short,r1,N2_poti_TP_short_r1_796674,TP,POTI N2 TP Short,16,0.899023510756866,115.06939047993662,9.542560777758657,230.14439985681548,17793.65747736875,18526.047972,21420.8895304,21432.35177911,3645.299310403718,4328.37007625,2776.9651169999997,8442.233539359999,604.2943859375,106.03093866804032,101.97973033070866,159.3762899715748,127.99375,128.0,160.0,177.970874049
2,poti,TP,short,r1,N2_poti_TP_short_r1_796674,TP,POTI N2 TP Short,32,1.1323960827238158,144.9431598508899,5.180857010554222,289.88985843953833,28245.902664953122,24959.460001,39956.2223151,40497.87935556,6062.1523757249715,3511.552243009375,1546.4065994999999,15772.47742576,1274.9758033312498,194.76323572847065,188.643614507874,251.8713574029134,127.996875,128.0,320.0,282.586636321
2,tupi,PP,long,r1,N2_tupi_PP_long_r1_796872,PP,TUPI N2 PP Long,1,0.0980467827985519,49.8665937313435,50.991343829322616,150.26649931706066,10194.518705999999,10177.251855499999,10354.7576306,10438.9809551,103.36415429414699,238.65951296666665,238.5988205,239.96337728999998,19.291533833333332,19.614880181759773,19.57739930379799,20.197243366376235,508.6,1024.0,30.0,305.976383352
2,tupi,PP,long,r1,N2_tupi_PP_long_r1_796872,PP,TUPI N2 PP Long,2,0.18524958427003824,94.24263850431079,48.649835333950904,283.93821279682993,10790.983740366666,10885.304108499999,10930.6166395,10954.70137967,160.233682321384,350.90338256666666,348.79997599999996,468.27936564,125.16138579999999,20.563380340183986,20.547302225873555,21.291019956819998,508.73333333333335,1024.0,30.0,161.943683265
2,tupi,PP,long,r1,N2_tupi_PP_long_r1_796872,PP,TUPI N2 PP Long,4,0.3366149495185115,170.59645641598163,44.95498943753313,515.2901647229373,11876.931894825,11883.9759765,11926.856549999999,11930.286880819998,40.305757629840166,621.441934275,761.546744,804.60903016,147.1830553,22.256393863080167,22.082776010148514,23.9288988633779,506.8,1024.0,40.0,118.830135314
2,tupi,PP,long,r1,N2_tupi_PP_long_r1_796872,PP,TUPI N2 PP Long,8,0.6321576536902928,320.5276363329918,42.852730798466794,967.8570737118515,12648.0239386125,12614.539229,12812.8422887,13055.21165175,150.8565499742835,831.5062511125,941.8948905,1423.6077801599997,289.12852282499995,23.35475102797009,23.187007577212423,25.06275852781239,507.0375,1024.0,80.0,126.55071014800001
2,tupi,PP,long,r1,N2_tupi_PP_long_r1_796872,PP,TUPI N2 PP Long,16,1.170749518466329,593.2334153758698,38.8103049999634,1792.0809222853904,13656.605379825,13372.211180999999,14510.9297825,15292.04612426,761.1768093555503,614.98553163125,466.47741299999996,2429.6727244699996,232.12908225624997,25.791667731709254,25.77937844187097,27.947656063443343,506.7125,1024.0,160.0,136.66458749400002
2,tupi,PP,long,r1,N2_tupi_PP_long_r1_796872,PP,TUPI N2 PP Long,32,1.8514940636959334,939.604307730941,30.180077826055566,2835.5342289555765,17267.807413553124,16977.384159999998,18509.0969997,21009.378147069998,865.8095528348588,477.090565865625,88.37827449999999,4605.01684055,134.746297853125,33.15405090536176,33.221127471624264,34.990009818788764,507.484375,1024.0,320.0,172.83339238000002
2,tupi,PP,short,r1,N2_tupi_PP_short_r1_796872,PP,TUPI N2 PP Short,1,0.40498630229308014,51.730250346236105,52.35805715889509,103.56849703975035,2467.3230836,2442.1756975,2515.0751648,2522.60625962,37.514931935122576,46.29996833333333,46.275483,49.41788244,18.878846533333334,19.104835566303795,19.023568886420446,19.824514267175854,127.73333333333333,128.0,30.0,74.076579455
2,tupi,PP,short,r1,N2_tupi_PP_short_r1_796872,PP,TUPI N2 PP Short,2,0.7590786731782475,97.16207016681568,49.63803441843983,194.32414033363136,2632.2367286999997,2627.403887,2660.4871619,2668.47343059,13.735257010287297,73.57569976666666,77.235935,82.98628740999999,24.134339266666665,20.146937235695535,20.079690877952753,20.542347931574803,128.0,128.0,30.0,39.521595139000006
2,tupi,PP,short,r1,N2_tupi_PP_short_r1_796872,PP,TUPI N2 PP Short,4,1.481062532609778,189.57600417405158,49.162535960454214,379.15200834810315,2697.9342530500003,2691.4376195,2727.3141987,2735.53083515,19.51845441517083,114.26913557499999,114.2162255,151.07522741,46.2218187,20.343819822637794,20.391751244094486,20.837857655354327,128.0,128.0,40.0,27.007637503
2,tupi,PP,short,r1,N2_tupi_PP_short_r1_796872,PP,TUPI N2 PP Short,8,2.7065741333087643,346.44148906352183,45.18814441270156,692.8829781270437,2953.3044438375,2952.197154,2958.5402947,2973.49341365,5.814795799146552,142.01045155,151.27106849999998,209.75925431,65.91797497499999,22.136173167618107,22.084154023622045,22.87040266653543,128.0,128.0,80.0,29.557660740000003
