exp_name,cluster_size,cluster,parallelism,seqlen,total_comm_avg_kB_s,total_comm_peak_kB_s,active_comm_fraction,total_volume_GB,burstiness_cv,inter_token_avg_ms,inter_token_p99_ms,TTFT_avg_ms,TTFT_p99_ms,TTFT_overhead_pct,inter_token_overhead_pct
N2_poti_PP_long_r1_790071,2,poti,PP,Short,373.7912138084633,5402.17,0.48775055679287305,0.3201146221160889,1.950903890314386,35.05,35.52,80.33,83.3,,
N2_poti_PP_short_r1_790074,2,poti,PP,Short,585.2513059033989,2857.18,0.6440071556350626,0.3119997787475586,1.4031415499053403,35.56,35.77,79.77,80.6,,
N2_poti_TP_long_r1_790072,2,poti,TP,Short,19017.157539882453,232243.2,0.4399664147774979,21.6001840877533,2.1244523603059573,31.15,31.51,547.11,549.46,,
N2_poti_TP_short_r1_790073,2,poti,TP,Short,39543.18792682927,232202.51,0.6393728222996515,21.646299238204957,1.3064923770869055,30.14,30.41,552.49,601.56,,
N4_poti_PP_long_r1_790467,4,poti,PP,Short,856.7219180327868,5495.33,0.6377049180327868,0.9967811012268065,1.5186746058981024,36.41,36.63,119.89,121.29,,
N4_poti_PP_short_r1_796873,4,poti,PP,Short,383.4259834591874,5515.1900000000005,0.4228694714131607,1.0169102287292482,2.514626034131148,35.59,36.2,117.55,118.23,,
N4_poti_TP_long_r1_790077,4,poti,TP,Short,13498.227757105944,236386.05,0.3571059431524548,24.909086904525758,3.3732117344583927,39.16,39.24,789.06,790.9,,
N4_poti_TP_short_r1_790075,4,poti,TP,Short,13311.10255351682,236195.0,0.3837920489296636,24.906523904800416,3.367886975214267,39.05,39.29,789.88,792.31,,
N1_tupi_none_long_r1_798983,1,tupi,none,Long,0.6153990610328638,13.66,0.002347417840375587,0.00025001525878906247,1.5186842727603649,17.49,17.82,125.03,125.84,0.0,0.0
N2_tupi_PP_long_r1_796872,2,tupi,PP,Long,1952.9286631578948,16276.779999999999,0.7789473684210526,1.769335012435913,1.9873740754744944,19.71,20.38,238.14,241.46,90.46628809085819,12.692967409948556
N2_tupi_TP_long_r1_798983,2,tupi,TP,Long,63586.19150269213,237164.91999999998,0.6475770925110133,123.88857769012452,1.281158485498762,23.15,23.99,3689.13,3693.31,2850.5958569943214,32.36134934248142
N1_tupi_none_short_r1_790477,1,tupi,none,Short,1.2736435643564357,49.78,0.04950495049504951,0.000613393783569336,3.122095357549394,18.33,18.71,32.21,37.76,0.0,0.0
N2_tupi_PP_short_r1_796872,2,tupi,PP,Short,693.1522388059702,3192.18,0.5202558635394456,0.3100284576416016,1.5627349818064493,19.84,19.99,47.56,49.47,47.65600745110215,8.2378614293508
N2_tupi_TP_short_r1_796872,2,tupi,TP,Short,40499.976963265304,237532.72999999998,0.48,47.31414011001587,1.8219407945020243,22.69,23.01,536.65,588.09,1566.097485253027,23.786142935079123
