Order,n_gpus,no_pcad,nodes,gpus_per_node,tp,pp,input_tokens,output_tokens,experiment_type
N2_tupi_TP_short_trace,2,tupi,2,1,2,1,128,128,trace
N2_poti_TP_short_trace,2,poti,2,1,2,1,128,128,trace
N4_poti_TP_short_trace,4,poti,4,1,4,1,128,128,trace
N2_tupi_PP_short_trace,2,tupi,2,1,1,2,128,128,trace
N2_poti_PP_short_trace,2,poti,2,1,1,2,128,128,trace
N4_poti_PP_short_trace,4,poti,4,1,1,4,128,128,trace
N1_tupi_none_short_trace,1,tupi,1,1,1,1,128,128,trace
N2_tupi_TP_long_trace,2,tupi,2,1,2,1,1024,512,trace
N2_poti_TP_long_trace,2,poti,2,1,2,1,1024,512,trace
N4_poti_TP_long_trace,4,poti,4,1,4,1,1024,512,trace
N2_tupi_PP_long_trace,2,tupi,2,1,1,2,1024,512,trace
N2_poti_PP_long_trace,2,poti,2,1,1,2,1024,512,trace
N4_poti_PP_long_trace,4,poti,4,1,1,4,1024,512,trace
N1_tupi_none_long_trace,1,tupi,1,1,1,1,1024,512,trace
N2_tupi_TP_short_concurrency,2,tupi,2,1,2,1,128,128,concurrency
N2_poti_TP_short_concurrency,2,poti,2,1,2,1,128,128,concurrency
N4_poti_TP_short_concurrency,4,poti,4,1,4,1,128,128,concurrency
N2_tupi_PP_short_concurrency,2,tupi,2,1,1,2,128,128,concurrency
N2_poti_PP_short_concurrency,2,poti,2,1,1,2,128,128,concurrency
N4_poti_PP_short_concurrency,4,poti,4,1,1,4,128,128,concurrency
N1_tupi_none_short_concurrency,1,tupi,1,1,1,1,128,128,concurrency
N2_tupi_TP_long_concurrency,2,tupi,2,1,2,1,1024,512,concurrency
N2_poti_TP_long_concurrency,2,poti,2,1,2,1,1024,512,concurrency
N4_poti_TP_long_concurrency,4,poti,4,1,4,1,1024,512,concurrency
N2_tupi_PP_long_concurrency,2,tupi,2,1,1,2,1024,512,concurrency
N2_poti_PP_long_concurrency,2,poti,2,1,1,2,1024,512,concurrency
N4_poti_PP_long_concurrency,4,poti,4,1,1,4,1024,512,concurrency
N1_tupi_none_long_concurrency,1,tupi,1,1,1,1,1024,512,concurrency
